dromaius_novaehollandiae ENSDNVG00000014211
apteryx_rowi ENSARWG00000004182
nothoprocta_perdicaria ENSNPEG00000004292
numida_meleagris ENSNMEG00000017984
coturnix_japonica ENSCJPG00005010018
anas_platyrhynchos_platyrhynchos ENSAPLG00000017205
calidris_pugnax ENSCPUG00000007976
calidris_pygmaea ENSCPGG00000014201
taeniopygia_guttata ENSTGUG00000000428
lonchura_striata_domestica ENSLSDG00000014990
parus_major ENSPMJG00000006628
serinus_canaria ENSSCAG00000013557
ficedula_albicollis ENSFALG00000008721
junco_hyemalis ENSJHYG00000005097
lepidothrix_coronata ENSLCOG00000008586
crocodylus_porosus ENSCPRG00005014252
anolis_carolinensis ENSACAG00000005688
pogona_vitticeps ENSPVIG00000024985
salvator_merianae ENSSMRG00000007104
dasypus_novemcinctus ENSDNOG00000017403
choloepus_hoffmanni ENSCHOG00000002246
echinops_telfairi ENSETEG00000010972
loxodonta_africana ENSLAFG00000021836
ursus_maritimus ENSUMAG00000024325
ursus_americanus ENSUAMG00000027907
ailuropoda_melanoleuca ENSAMEG00000018175
neovison_vison ENSNVIG00000021060
mustela_putorius_furo ENSMPUG00000012200
canis_lupus_dingo ENSCAFG00020011902
canis_lupus_familiaris ENSCAFG00000016437
vulpes_vulpes ENSVVUG00000000030
panthera_pardus ENSPPRG00000000437
panthera_pardus ENSPPRG00000022624
panthera_tigris_altaica ENSPTIG00000014896
felis_catus ENSFCAG00000001533
ovis_aries ENSOARG00000004235
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019437
mus_spicilegus ENSMSIG00000017720
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000021485
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018557
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019622
meriones_unguiculatus ENSMUGG00000016622
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001674
cricetulus_griseus_crigri_1.0 ENSCGRG00000008976
cricetulus_griseus_crigri-picr ENSCGRG00015017601
mesocricetus_auratus ENSMAUG00000011060
microtus_ochrogaster ENSMOCG00000021719
peromyscus_maniculatus_bairdii ENSPEMG00000011954
nannospalax_galili ENSNGAG00000008085
jaculus_jaculus ENSJJAG00000017130
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005922
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015317
fukomys_damarensis ENSFDAG00000001047
chinchilla_lanigera ENSCLAG00000015467
octodon_degus ENSODEG00000008997
cavia_porcellus ENSCPOG00000038422
cavia_aperea ENSCAPG00000012184
spermophilus_dauricus ENSSDAG00000002853
ictidomys_tridecemlineatus ENSSTOG00000002697
marmota_marmota_marmota ENSMMMG00000004961
urocitellus_parryii ENSUPAG00010013685
oryctolagus_cuniculus ENSOCUG00000022519
ochotona_princeps ENSOPRG00000002125
propithecus_coquereli ENSPCOG00000028009
microcebus_murinus ENSMICG00000043849
otolemur_garnettii ENSOGAG00000032370
homo_sapiens ENSG00000213347
nomascus_leucogenys ENSNLEG00000033619
papio_anubis ENSPANG00000007888
chlorocebus_sabaeus ENSCSAG00000008875
callithrix_jacchus ENSCJAG00000006943
saimiri_boliviensis_boliviensis ENSSBOG00000024598
aotus_nancymaae ENSANAG00000037874
cebus_capucinus_imitator ENSCCAG00000026342
prolemur_simus ENSPSMG00000013203
pan_paniscus ENSPPAG00000035873
pan_troglodytes ENSPTRG00000051004
gorilla_gorilla ENSGGOG00000011764
rhinopithecus_bieti ENSRBIG00000037715
piliocolobus_tephrosceles ENSPTEG00000008421
mandrillus_leucophaeus ENSMLEG00000033838
theropithecus_gelada ENSTGEG00000015493
rhinopithecus_roxellana ENSRROG00000027476
colobus_angolensis_palliatus ENSCANG00000021345
macaca_fascicularis ENSMFAG00000033170
macaca_mulatta ENSMMUG00000009047
macaca_nemestrina ENSMNEG00000032596
cercocebus_atys ENSCATG00000029483
myotis_lucifugus ENSMLUG00000007019
pteropus_vampyrus ENSPVAG00000003828
erinaceus_europaeus ENSEEUG00000015798
equus_caballus ENSECAG00000021155
equus_asinus_asinus ENSEASG00005012276
tursiops_truncatus ENSTTRG00000009572
sus_scrofa ENSSSCG00000014041
bos_taurus ENSBTAG00000005010
bos_mutus ENSBMUG00000007281
bison_bison_bison ENSBBBG00000010724
capra_hircus ENSCHIG00000012369
phascolarctos_cinereus ENSPCIG00000034227
notamacropus_eugenii ENSMEUG00000002831
sarcophilus_harrisii ENSSHAG00000013431
monodelphis_domestica ENSMODG00000004791
xenopus_tropicalis ENSXETG00000007236
paramormyrops_kingsleyae ENSPKIG00000007823
scleropages_formosus ENSSFOG00015000374
pygocentrus_nattereri ENSPNAG00000018875
astyanax_mexicanus ENSAMXG00000039618
ictalurus_punctatus ENSIPUG00000013474
danio_rerio ENSDARG00000098350
amphiprion_percula ENSAPEG00000013485
amphiprion_ocellaris ENSAOCG00000000724
acanthochromis_polyacanthus ENSAPOG00000015994
stegastes_partitus ENSSPAG00000018640
labrus_bergylta ENSLBEG00000028106
seriola_dumerili ENSSDUG00000008431
seriola_lalandi_dorsalis ENSSLDG00000010152
scophthalmus_maximus ENSSMAG00000007189
tetraodon_nigroviridis ENSTNIG00000008989
takifugu_rubripes ENSTRUG00000004989
mola_mola ENSMMOG00000009033
xiphophorus_maculatus ENSXMAG00000009739
xiphophorus_couchianus ENSXCOG00000009122
gambusia_affinis ENSGAFG00000005953
poecilia_formosa ENSPFOG00000006510
poecilia_mexicana ENSPMEG00000003328
poecilia_latipinna ENSPLAG00000011279
poecilia_reticulata ENSPREG00000005268
cyprinodon_variegatus ENSCVAG00000014477
fundulus_heteroclitus ENSFHEG00000008961
kryptolebias_marmoratus ENSKMAG00000019382
cynoglossus_semilaevis ENSCSEG00000013021
oryzias_latipes_asm223467v1 ENSORLG00000006647
oryzias_latipes_asm223471v1 ENSORLG00020008438
oryzias_latipes_asm223469v1 ENSORLG00015004806
oryzias_melastigma ENSOMEG00000008908
gasterosteus_aculeatus ENSGACG00000018331
periophthalmus_magnuspinnatus ENSPMGG00000012534
haplochromis_burtoni ENSHBUG00000011006
pundamilia_nyererei ENSPNYG00000000214
maylandia_zebra ENSMZEG00005010016
astatotilapia_calliptera ENSACLG00000003842
neolamprologus_brichardi ENSNBRG00000015021
oreochromis_niloticus ENSONIG00000017790
amphilophus_citrinellus ENSACIG00000008570
mastacembelus_armatus ENSMAMG00000011204
anabas_testudineus ENSATEG00000003387
monopterus_albus ENSMALG00000006818
hippocampus_comes ENSHCOG00000004743
gadus_morhua ENSGMOG00000006646
esox_lucius ENSELUG00000000830
lepisosteus_oculatus ENSLOCG00000011977
