coturnix_japonica ENSCJPG00005004013
numida_meleagris ENSNMEG00000009418
anas_platyrhynchos_platyrhynchos ENSAPLG00000022206
crocodylus_porosus ENSCPRG00005008880
gopherus_agassizii ENSGAGG00000008016
chrysemys_picta_bellii ENSCPBG00000015259
pelodiscus_sinensis ENSPSIG00000008166
pogona_vitticeps ENSPVIG00000023571
anolis_carolinensis ENSACAG00000008706
vicugna_pacos ENSVPAG00000006975
canis_lupus_familiaris ENSCAFG00000030930
ovis_aries ENSOARG00000002579
capra_hircus ENSCHIG00000014515
bos_mutus ENSBMUG00000025268
tursiops_truncatus ENSTTRG00000016845
sus_scrofa ENSSSCG00000021093
erinaceus_europaeus ENSEEUG00000012393
ursus_maritimus ENSUMAG00000025149
ailuropoda_melanoleuca ENSAMEG00000006391
mustela_putorius_furo ENSMPUG00000012112
neovison_vison ENSNVIG00000003276
vulpes_vulpes ENSVVUG00000010441
canis_lupus_familiaris ENSCAFG00000004218
panthera_pardus ENSPPRG00000004107
felis_catus ENSFCAG00000003780
equus_caballus ENSECAG00000012482
pteropus_vampyrus ENSPVAG00000013741
myotis_lucifugus ENSMLUG00000010146
propithecus_coquereli ENSPCOG00000018647
microcebus_murinus ENSMICG00000001368
pan_paniscus ENSPPAG00000028736
pan_troglodytes ENSPTRG00000002360
homo_sapiens ENSG00000179133
gorilla_gorilla ENSGGOG00000000660
pongo_abelii ENSPPYG00000002152
nomascus_leucogenys ENSNLEG00000012904
papio_anubis ENSPANG00000023091
theropithecus_gelada ENSTGEG00000003846
cercocebus_atys ENSCATG00000040730
mandrillus_leucophaeus ENSMLEG00000042075
macaca_mulatta ENSMMUG00000019011
macaca_fascicularis ENSMFAG00000033328
macaca_nemestrina ENSMNEG00000039209
chlorocebus_sabaeus ENSCSAG00000012408
rhinopithecus_roxellana ENSRROG00000032848
rhinopithecus_bieti ENSRBIG00000041601
piliocolobus_tephrosceles ENSPTEG00000032220
colobus_angolensis_palliatus ENSCANG00000043337
cebus_capucinus_imitator ENSCCAG00000032524
saimiri_boliviensis_boliviensis ENSSBOG00000022972
aotus_nancymaae ENSANAG00000021920
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011440
cricetulus_griseus_crigri_1.0 ENSCGRG00000002911
cricetulus_griseus_crigri-picr ENSCGRG00015023474
mesocricetus_auratus ENSMAUG00000011632
microtus_ochrogaster ENSMOCG00000022878
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026734
mus_spicilegus ENSMSIG00000011108
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024129
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023214
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024670
rattus_norvegicus ENSRNOG00000021898
nannospalax_galili ENSNGAG00000020805
jaculus_jaculus ENSJJAG00000013222
ictidomys_tridecemlineatus ENSSTOG00000010976
pongo_abelii ENSPPYG00000002151
chlorocebus_sabaeus ENSCSAG00000012415
oryctolagus_cuniculus ENSOCUG00000016646
otolemur_garnettii ENSOGAG00000009212
tupaia_belangeri ENSTBEG00000005712
ochotona_princeps ENSOPRG00000006957
choloepus_hoffmanni ENSCHOG00000006307
dasypus_novemcinctus ENSDNOG00000000144
loxodonta_africana ENSLAFG00000009109
procavia_capensis ENSPCAG00000013486
echinops_telfairi ENSETEG00000003191
monodelphis_domestica ENSMODG00000027746
notamacropus_eugenii ENSMEUG00000004017
phascolarctos_cinereus ENSPCIG00000013475
monodelphis_domestica ENSMODG00000028850
ornithorhynchus_anatinus ENSOANG00000005692
latimeria_chalumnae ENSLACG00000022095
astyanax_mexicanus ENSAMXG00000008254
pygocentrus_nattereri ENSPNAG00000019333
danio_rerio ENSDARG00000076896
esox_lucius ENSELUG00000013244
lepisosteus_oculatus ENSLOCG00000003208
ciona_intestinalis ENSCING00000003605
