takifugu_rubripes ENSTRUG00000008663
tetraodon_nigroviridis ENSTNIG00000005849
hippocampus_comes ENSHCOG00000007877
hippocampus_comes ENSHCOG00000010911
cynoglossus_semilaevis ENSCSEG00000000534
mola_mola ENSMMOG00000004270
amphiprion_percula ENSAPEG00000015349
amphiprion_ocellaris ENSAOCG00000020395
acanthochromis_polyacanthus ENSAPOG00000015671
stegastes_partitus ENSSPAG00000012308
maylandia_zebra ENSMZEG00005000932
astatotilapia_calliptera ENSACLG00000000727
haplochromis_burtoni ENSHBUG00000008982
neolamprologus_brichardi ENSNBRG00000015918
oreochromis_niloticus ENSONIG00000006024
amphilophus_citrinellus ENSACIG00000016725
pundamilia_nyererei ENSPNYG00000000610
oryzias_latipes_asm223469v1 ENSORLG00015009969
oryzias_latipes_asm223467v1 ENSORLG00000010806
oryzias_latipes_asm223471v1 ENSORLG00020010048
oryzias_melastigma ENSOMEG00000000079
kryptolebias_marmoratus ENSKMAG00000013490
labrus_bergylta ENSLBEG00000017281
labrus_bergylta ENSLBEG00000009279
gasterosteus_aculeatus ENSGACG00000004022
monopterus_albus ENSMALG00000020422
mastacembelus_armatus ENSMAMG00000004804
anabas_testudineus ENSATEG00000004721
seriola_lalandi_dorsalis ENSSLDG00000021437
seriola_lalandi_dorsalis ENSSLDG00000009792
seriola_dumerili ENSSDUG00000007461
scophthalmus_maximus ENSSMAG00000011526
xiphophorus_maculatus ENSXMAG00000002311
gambusia_affinis ENSGAFG00000002825
poecilia_latipinna ENSPLAG00000021863
poecilia_formosa ENSPFOG00000016521
poecilia_mexicana ENSPMEG00000022316
poecilia_reticulata ENSPREG00000008339
cyprinodon_variegatus ENSCVAG00000006956
fundulus_heteroclitus ENSFHEG00000014630
gadus_morhua ENSGMOG00000002509
pygocentrus_nattereri ENSPNAG00000010219
astyanax_mexicanus ENSAMXG00000036220
ictalurus_punctatus ENSIPUG00000003309
danio_rerio ENSDARG00000007418
scleropages_formosus ENSSFOG00015002388
paramormyrops_kingsleyae ENSPKIG00000016972
lepisosteus_oculatus ENSLOCG00000011903
pogona_vitticeps ENSPVIG00000024046
anolis_carolinensis ENSACAG00000013793
salvator_merianae ENSSMRG00000010922
sphenodon_punctatus ENSSPUG00000009146
anser_brachyrhynchus ENSABRG00000008316
anas_platyrhynchos_platyrhynchos ENSAPLG00000029536
gallus_gallus ENSGALG00000043573
coturnix_japonica ENSCJPG00005000054
meleagris_gallopavo ENSMGAG00000011679
numida_meleagris ENSNMEG00000017572
lonchura_striata_domestica ENSLSDG00000010510
taeniopygia_guttata ENSTGUG00000011678
serinus_canaria ENSSCAG00000002581
parus_major ENSPMJG00000005501
cyanistes_caeruleus ENSCCEG00000009736
ficedula_albicollis ENSFALG00000008640
junco_hyemalis ENSJHYG00000000394
zonotrichia_albicollis ENSZALG00000008948
lepidothrix_coronata ENSLCOG00000000460
manacus_vitellinus ENSMVIG00005015743
melopsittacus_undulatus ENSMUNG00000006255
calidris_pugnax ENSCPUG00000016030
calidris_pygmaea ENSCPGG00000000046
apteryx_haastii ENSAHAG00000017114
apteryx_owenii ENSAOWG00000002623
apteryx_rowi ENSARWG00000004860
dromaius_novaehollandiae ENSDNVG00000010941
nothoprocta_perdicaria ENSNPEG00000007231
crocodylus_porosus ENSCPRG00005000547
chrysemys_picta_bellii ENSCPBG00000008239
chelonoidis_abingdonii ENSCABG00000016240
gopherus_agassizii ENSGAGG00000021310
pelodiscus_sinensis ENSPSIG00000002415
phascolarctos_cinereus ENSPCIG00000024130
notamacropus_eugenii ENSMEUG00000010067
sarcophilus_harrisii ENSSHAG00000010727
monodelphis_domestica ENSMODG00000006220
vicugna_pacos ENSVPAG00000001148
erinaceus_europaeus ENSEEUG00000015458
castor_canadensis ENSCCNG00000018803
dipodomys_ordii ENSDORG00000025589
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024848
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027536
mus_spicilegus ENSMSIG00000016426
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025778
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026296
rattus_norvegicus ENSRNOG00000010238
meriones_unguiculatus ENSMUGG00000019645
peromyscus_maniculatus_bairdii ENSPEMG00000001431
microtus_ochrogaster ENSMOCG00000017950
cricetulus_griseus_crigri-picr ENSCGRG00015018013
cricetulus_griseus_crigri_1.0 ENSCGRG00000016020
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016277
nannospalax_galili ENSNGAG00000010118
jaculus_jaculus ENSJJAG00000019647
ictidomys_tridecemlineatus ENSSTOG00000012910
urocitellus_parryii ENSUPAG00010016128
marmota_marmota_marmota ENSMMMG00000006062
spermophilus_dauricus ENSSDAG00000003306
oryctolagus_cuniculus ENSOCUG00000006847
