mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031288
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000051437
mus_spicilegus ENSMSIG00000000228
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030180
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013396
rattus_norvegicus ENSRNOG00000017016
meriones_unguiculatus ENSMUGG00000020206
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001312
peromyscus_maniculatus_bairdii ENSPEMG00000028102
chinchilla_lanigera ENSCLAG00000014573
spermophilus_dauricus ENSSDAG00000001089
marmota_marmota_marmota ENSMMMG00000013286
ictidomys_tridecemlineatus ENSSTOG00000000484
oryctolagus_cuniculus ENSOCUG00000016528
ochotona_princeps ENSOPRG00000016821
rhinopithecus_roxellana ENSRROG00000038731
rhinopithecus_bieti ENSRBIG00000034639
colobus_angolensis_palliatus ENSCANG00000035353
macaca_mulatta ENSMMUG00000030983
papio_anubis ENSPANG00000025846
cercocebus_atys ENSCATG00000044405
mandrillus_leucophaeus ENSMLEG00000032230
macaca_fascicularis ENSMFAG00000035890
homo_sapiens ENSG00000175518
gorilla_gorilla ENSGGOG00000028132
theropithecus_gelada ENSTGEG00000021669
macaca_nemestrina ENSMNEG00000041183
piliocolobus_tephrosceles ENSPTEG00000014718
pan_paniscus ENSPPAG00000029237
cebus_capucinus_imitator ENSCCAG00000028736
aotus_nancymaae ENSANAG00000022777
prolemur_simus ENSPSMG00000000608
propithecus_coquereli ENSPCOG00000014071
otolemur_garnettii ENSOGAG00000014977
bos_taurus ENSBTAG00000005671
bos_mutus ENSBMUG00000000207
bison_bison_bison ENSBBBG00000022944
ovis_aries ENSOARG00000007189
capra_hircus ENSCHIG00000017169
sus_scrofa ENSSSCG00000014690
ursus_maritimus ENSUMAG00000000359
ursus_americanus ENSUAMG00000001876
ailuropoda_melanoleuca ENSAMEG00000018969
canis_lupus_familiaris ENSCAFG00000030151
canis_lupus_dingo ENSCAFG00020009141
mustela_putorius_furo ENSMPUG00000018339
erinaceus_europaeus ENSEEUG00000005302
equus_caballus ENSECAG00000003288
equus_asinus_asinus ENSEASG00005001392
dasypus_novemcinctus ENSDNOG00000000916
prolemur_simus ENSPSMG00000000601
piliocolobus_tephrosceles ENSPTEG00000014686
loxodonta_africana ENSLAFG00000030289
echinops_telfairi ENSETEG00000008568
sarcophilus_harrisii ENSSHAG00000013739
monodelphis_domestica ENSMODG00000022903
phascolarctos_cinereus ENSPCIG00000011279
notamacropus_eugenii ENSMEUG00000011301
