cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010301
cricetulus_griseus_crigri_1.0 ENSCGRG00000002458
mesocricetus_auratus ENSMAUG00000008261
peromyscus_maniculatus_bairdii ENSPEMG00000008938
microtus_ochrogaster ENSMOCG00000001839
mus_spicilegus ENSMSIG00000022959
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017561
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000054406
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016718
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017855
meriones_unguiculatus ENSMUGG00000006718
jaculus_jaculus ENSJJAG00000016838
ictidomys_tridecemlineatus ENSSTOG00000023275
marmota_marmota_marmota ENSMMMG00000024085
chinchilla_lanigera ENSCLAG00000017945
octodon_degus ENSODEG00000019657
cavia_porcellus ENSCPOG00000038227
cavia_aperea ENSCAPG00000006173
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019948
oryctolagus_cuniculus ENSOCUG00000021396
ochotona_princeps ENSOPRG00000013304
otolemur_garnettii ENSOGAG00000007617
prolemur_simus ENSPSMG00000019667
carlito_syrichta ENSTSYG00000037421
ursus_americanus ENSUAMG00000001530
ursus_maritimus ENSUMAG00000008190
ailuropoda_melanoleuca ENSAMEG00000018793
neovison_vison ENSNVIG00000006732
mustela_putorius_furo ENSMPUG00000019349
canis_lupus_familiaris ENSCAFG00000030709
canis_lupus_dingo ENSCAFG00020008600
vulpes_vulpes ENSVVUG00000021944
panthera_tigris_altaica ENSPTIG00000018162
panthera_pardus ENSPPRG00000005493
felis_catus ENSFCAG00000038435
equus_caballus ENSECAG00000038729
equus_asinus_asinus ENSEASG00005012710
ovis_aries ENSOARG00000004170
capra_hircus ENSCHIG00000006349
bos_taurus ENSBTAG00000050183
bos_mutus ENSBMUG00000016234
bison_bison_bison ENSBBBG00000023981
erinaceus_europaeus ENSEEUG00000013942
dasypus_novemcinctus ENSDNOG00000044977
loxodonta_africana ENSLAFG00000004853
procavia_capensis ENSPCAG00000012082
echinops_telfairi ENSETEG00000018660
ailuropoda_melanoleuca ENSAMEG00000019272
dasypus_novemcinctus ENSDNOG00000038550
sarcophilus_harrisii ENSSHAG00000006192
monodelphis_domestica ENSMODG00000010111
