homo_sapiens ENSG00000144199
gorilla_gorilla ENSGGOG00000028199
pan_troglodytes ENSPTRG00000050126
pan_troglodytes ENSPTRG00000052415
pan_troglodytes ENSPTRG00000046762
piliocolobus_tephrosceles ENSPTEG00000039127
colobus_angolensis_palliatus ENSCANG00000031855
macaca_nemestrina ENSMNEG00000029698
macaca_fascicularis ENSMFAG00000033416
cercocebus_atys ENSCATG00000043492
papio_anubis ENSPANG00000019324
nomascus_leucogenys ENSNLEG00000027629
gorilla_gorilla ENSGGOG00000022233
theropithecus_gelada ENSTGEG00000024210
aotus_nancymaae ENSANAG00000029399
cebus_capucinus_imitator ENSCCAG00000022058
notamacropus_eugenii ENSMEUG00000014702
ornithorhynchus_anatinus ENSOANG00000022209
lepisosteus_oculatus ENSLOCG00000015640
