haplochromis_burtoni ENSHBUG00000019962
pundamilia_nyererei ENSPNYG00000014210
maylandia_zebra ENSMZEG00005011409
astatotilapia_calliptera ENSACLG00000000206
neolamprologus_brichardi ENSNBRG00000007574
amphilophus_citrinellus ENSACIG00000014934
poecilia_reticulata ENSPREG00000000381
xiphophorus_couchianus ENSXCOG00000005553
xiphophorus_maculatus ENSXMAG00000024146
poecilia_mexicana ENSPMEG00000019005
gambusia_affinis ENSGAFG00000002651
cyprinodon_variegatus ENSCVAG00000016047
amphiprion_percula ENSAPEG00000001553
amphiprion_ocellaris ENSAOCG00000011710
acanthochromis_polyacanthus ENSAPOG00000001376
stegastes_partitus ENSSPAG00000012905
labrus_bergylta ENSLBEG00000004383
anabas_testudineus ENSATEG00000009320
hippocampus_comes ENSHCOG00000007499
takifugu_rubripes ENSTRUG00000023051
monopterus_albus ENSMALG00000002003
