oryzias_melastigma ENSOMEG00000001032
maylandia_zebra ENSMZEG00005009557
seriola_lalandi_dorsalis ENSSLDG00000009816
acanthochromis_polyacanthus ENSAPOG00000011922
astatotilapia_calliptera ENSACLG00000023099
astatotilapia_calliptera ENSACLG00000023095
amphilophus_citrinellus ENSACIG00000012068
seriola_dumerili ENSSDUG00000014247
takifugu_rubripes ENSTRUG00000007952
tetraodon_nigroviridis ENSTNIG00000014113
labrus_bergylta ENSLBEG00000020320
mastacembelus_armatus ENSMAMG00000003226
anabas_testudineus ENSATEG00000003550
seriola_dumerili ENSSDUG00000006084
seriola_lalandi_dorsalis ENSSLDG00000019870
poecilia_mexicana ENSPMEG00000014916
poecilia_formosa ENSPFOG00000010740
poecilia_reticulata ENSPREG00000022596
xiphophorus_maculatus ENSXMAG00000013687
cyprinodon_variegatus ENSCVAG00000003526
kryptolebias_marmoratus ENSKMAG00000007692
astatotilapia_calliptera ENSACLG00000017678
maylandia_zebra ENSMZEG00005000193
pundamilia_nyererei ENSPNYG00000016514
neolamprologus_brichardi ENSNBRG00000017860
neolamprologus_brichardi ENSNBRG00000017875
amphilophus_citrinellus ENSACIG00000006150
stegastes_partitus ENSSPAG00000021149
scophthalmus_maximus ENSSMAG00000001348
seriola_dumerili ENSSDUG00000009915
monopterus_albus ENSMALG00000008616
gasterosteus_aculeatus ENSGACG00000018802
poecilia_mexicana ENSPMEG00000020475
poecilia_formosa ENSPFOG00000000268
poecilia_reticulata ENSPREG00000016067
xiphophorus_maculatus ENSXMAG00000000501
gambusia_affinis ENSGAFG00000017467
cyprinodon_variegatus ENSCVAG00000011118
kryptolebias_marmoratus ENSKMAG00000002499
oryzias_latipes_asm223471v1 ENSORLG00020018018
oryzias_latipes_asm223467v1 ENSORLG00000018411
oryzias_latipes_asm223469v1 ENSORLG00015015796
haplochromis_burtoni ENSHBUG00000010812
astatotilapia_calliptera ENSACLG00000004661
oreochromis_niloticus ENSONIG00000000415
anabas_testudineus ENSATEG00000015090
amphiprion_ocellaris ENSAOCG00000008088
cynoglossus_semilaevis ENSCSEG00000000894
takifugu_rubripes ENSTRUG00000020095
tetraodon_nigroviridis ENSTNIG00000005497
hippocampus_comes ENSHCOG00000015843
gadus_morhua ENSGMOG00000008661
esox_lucius ENSELUG00000009330
pygocentrus_nattereri ENSPNAG00000003655
astyanax_mexicanus ENSAMXG00000011037
danio_rerio ENSDARG00000010940
paramormyrops_kingsleyae ENSPKIG00000016561
scleropages_formosus ENSSFOG00015004819
xenopus_tropicalis ENSXETG00000015146
xenopus_tropicalis ENSXETG00000015148
