gorilla_gorilla ENSGGOG00000011051
homo_sapiens ENSG00000120889
pan_paniscus ENSPPAG00000001205
pan_troglodytes ENSPTRG00000020070
pongo_abelii ENSPPYG00000018431
nomascus_leucogenys ENSNLEG00000015879
rhinopithecus_bieti ENSRBIG00000000437
colobus_angolensis_palliatus ENSCANG00000032595
piliocolobus_tephrosceles ENSPTEG00000027345
papio_anubis ENSPANG00000009912
theropithecus_gelada ENSTGEG00000001040
cercocebus_atys ENSCATG00000038988
macaca_mulatta ENSMMUG00000048076
macaca_fascicularis ENSMFAG00000002092
macaca_nemestrina ENSMNEG00000035485
mandrillus_leucophaeus ENSMLEG00000007326
chlorocebus_sabaeus ENSCSAG00000016289
cebus_capucinus_imitator ENSCCAG00000020824
saimiri_boliviensis_boliviensis ENSSBOG00000031524
callithrix_jacchus ENSCJAG00000020135
aotus_nancymaae ENSANAG00000032145
