ciona_intestinalis ENSCING00000002177
ciona_savignyi ENSCSAVG00000011819
caenorhabditis_elegans_strain_n2 WBGene00007617
petromyzon_marinus ENSPMAG00000006513
eptatretus_burgeri ENSEBUG00000013506
phascolarctos_cinereus ENSPCIG00000026695
monodelphis_domestica ENSMODG00000024952
choloepus_hoffmanni ENSCHOG00000002455
dasypus_novemcinctus ENSDNOG00000017900
loxodonta_africana ENSLAFG00000015405
procavia_capensis ENSPCAG00000009115
echinops_telfairi ENSETEG00000000935
capra_hircus ENSCHIG00000009141
ovis_aries ENSOARG00000017417
bos_taurus ENSBTAG00000016716
bos_mutus ENSBMUG00000014594
bison_bison_bison ENSBBBG00000018381
sus_scrofa ENSSSCG00000006214
equus_caballus ENSECAG00000004492
equus_asinus_asinus ENSEASG00005001691
neovison_vison ENSNVIG00000023931
mustela_putorius_furo ENSMPUG00000018626
ursus_americanus ENSUAMG00000008502
canis_lupus_dingo ENSCAFG00020016049
canis_lupus_dingo ENSCAFG00020020365
canis_lupus_familiaris ENSCAFG00000007313
vulpes_vulpes ENSVVUG00000018452
felis_catus ENSFCAG00000014332
panthera_pardus ENSPPRG00000021408
erinaceus_europaeus ENSEEUG00000013719
sorex_araneus ENSSARG00000006976
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000021423
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020640
cavia_porcellus ENSCPOG00000000647
ictidomys_tridecemlineatus ENSSTOG00000026310
urocitellus_parryii ENSUPAG00010001554
spermophilus_dauricus ENSSDAG00000024462
marmota_marmota_marmota ENSMMMG00000002617
cricetulus_griseus_crigri-picr ENSCGRG00015022147
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002391
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015575
cricetulus_griseus_crigri-picr ENSCGRG00015004131
mesocricetus_auratus ENSMAUG00000005392
peromyscus_maniculatus_bairdii ENSPEMG00000014427
microtus_ochrogaster ENSMOCG00000015862
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000061024
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014739
mus_spicilegus ENSMSIG00000027013
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0013936
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023883
rattus_norvegicus ENSRNOG00000007240
meriones_unguiculatus ENSMUGG00000007746
nannospalax_galili ENSNGAG00000012904
jaculus_jaculus ENSJJAG00000011507
jaculus_jaculus ENSJJAG00000020395
castor_canadensis ENSCCNG00000023635
dipodomys_ordii ENSDORG00000026331
oryctolagus_cuniculus ENSOCUG00000013490
pan_paniscus ENSPPAG00000024378
pan_troglodytes ENSPTRG00000030988
homo_sapiens ENSG00000179041
gorilla_gorilla ENSGGOG00000026663
pongo_abelii ENSPPYG00000018637
nomascus_leucogenys ENSNLEG00000027730
cercocebus_atys ENSCATG00000016944
mandrillus_leucophaeus ENSMLEG00000004794
theropithecus_gelada ENSTGEG00000020089
papio_anubis ENSPANG00000035974
macaca_fascicularis ENSMFAG00000042747
macaca_nemestrina ENSMNEG00000011696
macaca_mulatta ENSMMUG00000000886
chlorocebus_sabaeus ENSCSAG00000018552
piliocolobus_tephrosceles ENSPTEG00000006174
colobus_angolensis_palliatus ENSCANG00000012718
rhinopithecus_bieti ENSRBIG00000009132
rhinopithecus_roxellana ENSRROG00000013472
saimiri_boliviensis_boliviensis ENSSBOG00000011006
saimiri_boliviensis_boliviensis ENSSBOG00000012639
cebus_capucinus_imitator ENSCCAG00000032186
callithrix_jacchus ENSCJAG00000022034
aotus_nancymaae ENSANAG00000018116
carlito_syrichta ENSTSYG00000026535
tupaia_belangeri ENSTBEG00000014752
prolemur_simus ENSPSMG00000000222
otolemur_garnettii ENSOGAG00000001085
ornithorhynchus_anatinus ENSOANG00000012348
junco_hyemalis ENSJHYG00000016523
zonotrichia_albicollis ENSZALG00000008742
parus_major ENSPMJG00000000389
lepidothrix_coronata ENSLCOG00000003587
melopsittacus_undulatus ENSMUNG00000005648
calidris_pygmaea ENSCPGG00000003166
calidris_pugnax ENSCPUG00000009088
gallus_gallus ENSGALG00000030890
coturnix_japonica ENSCJPG00005011651
numida_meleagris ENSNMEG00000016833
anser_brachyrhynchus ENSABRG00000007284
apteryx_rowi ENSARWG00000016150
gopherus_agassizii ENSGAGG00000023718
chrysemys_picta_bellii ENSCPBG00000021374
pogona_vitticeps ENSPVIG00000000526
notechis_scutatus ENSNSUG00000015334
salvator_merianae ENSSMRG00000011753
latimeria_chalumnae ENSLACG00000004058
tetraodon_nigroviridis ENSTNIG00000004026
takifugu_rubripes ENSTRUG00000008796
gasterosteus_aculeatus ENSGACG00000002969
poecilia_reticulata ENSPREG00000019960
poecilia_formosa ENSPFOG00000020722
xiphophorus_couchianus ENSXCOG00000009809
cyprinodon_variegatus ENSCVAG00000017878
oryzias_melastigma ENSOMEG00000008525
cynoglossus_semilaevis ENSCSEG00000014750
anabas_testudineus ENSATEG00000011743
scophthalmus_maximus ENSSMAG00000015226
maylandia_zebra ENSMZEG00005021769
pundamilia_nyererei ENSPNYG00000002758
haplochromis_burtoni ENSHBUG00000018867
neolamprologus_brichardi ENSNBRG00000023498
oreochromis_niloticus ENSONIG00000014187
maylandia_zebra ENSMZEG00005004349
kryptolebias_marmoratus ENSKMAG00000008238
hippocampus_comes ENSHCOG00000015358
pygocentrus_nattereri ENSPNAG00000021707
astyanax_mexicanus ENSAMXG00000037893
ictalurus_punctatus ENSIPUG00000014412
danio_rerio ENSDARG00000003941
paramormyrops_kingsleyae ENSPKIG00000007953
scleropages_formosus ENSSFOG00015015772
esox_lucius ENSELUG00000015043
lepisosteus_oculatus ENSLOCG00000017812
drosophila_melanogaster FBgn0052409
saccharomyces_cerevisiae_strain_s288c YOR294W
