astyanax_mexicanus ENSAMXG00000020685
pygocentrus_nattereri ENSPNAG00000025893
danio_rerio ENSDARG00000060768
takifugu_rubripes ENSTRUG00000009032
tetraodon_nigroviridis ENSTNIG00000009176
mola_mola ENSMMOG00000019083
labrus_bergylta ENSLBEG00000003232
gasterosteus_aculeatus ENSGACG00000005220
mastacembelus_armatus ENSMAMG00000012983
monopterus_albus ENSMALG00000014417
anabas_testudineus ENSATEG00000014344
scophthalmus_maximus ENSSMAG00000008675
cynoglossus_semilaevis ENSCSEG00000018085
seriola_dumerili ENSSDUG00000010560
seriola_lalandi_dorsalis ENSSLDG00000011965
amphiprion_percula ENSAPEG00000012428
amphiprion_ocellaris ENSAOCG00000007385
acanthochromis_polyacanthus ENSAPOG00000019422
stegastes_partitus ENSSPAG00000015197
astatotilapia_calliptera ENSACLG00000017157
maylandia_zebra ENSMZEG00005004634
haplochromis_burtoni ENSHBUG00000003207
pundamilia_nyererei ENSPNYG00000010950
oreochromis_niloticus ENSONIG00000002487
neolamprologus_brichardi ENSNBRG00000012132
amphilophus_citrinellus ENSACIG00000011235
poecilia_formosa ENSPFOG00000012480
poecilia_mexicana ENSPMEG00000021936
poecilia_latipinna ENSPLAG00000006703
poecilia_reticulata ENSPREG00000007115
xiphophorus_maculatus ENSXMAG00000003372
gambusia_affinis ENSGAFG00000011136
fundulus_heteroclitus ENSFHEG00000013602
cyprinodon_variegatus ENSCVAG00000020801
kryptolebias_marmoratus ENSKMAG00000006009
oryzias_latipes_asm223469v1 ENSORLG00015013490
oryzias_latipes_asm223471v1 ENSORLG00020005794
oryzias_latipes_asm223467v1 ENSORLG00000012526
oryzias_melastigma ENSOMEG00000011610
periophthalmus_magnuspinnatus ENSPMGG00000001771
hippocampus_comes ENSHCOG00000019250
gadus_morhua ENSGMOG00000015616
esox_lucius ENSELUG00000000082
ornithorhynchus_anatinus ENSOANG00000029861
petromyzon_marinus ENSPMAG00000009240
eptatretus_burgeri ENSEBUG00000006186
