mus_musculus_strain_reference_cl57bl6 ENSMUSG00000078144
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032494
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031375
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022974
meriones_unguiculatus ENSMUGG00000008798
dipodomys_ordii ENSDORG00000027062
homo_sapiens ENSG00000256812
loxodonta_africana ENSLAFG00000028051
ursus_americanus ENSUAMG00000004143
phascolarctos_cinereus ENSPCIG00000033526
chelonoidis_abingdonii ENSCABG00000015803
gopherus_agassizii ENSGAGG00000003722
chrysemys_picta_bellii ENSCPBG00000012162
lepidothrix_coronata ENSLCOG00000001622
manacus_vitellinus ENSMVIG00005002314
zonotrichia_albicollis ENSZALG00000009223
serinus_canaria ENSSCAG00000004910
lonchura_striata_domestica ENSLSDG00000015504
numida_meleagris ENSNMEG00000016771
coturnix_japonica ENSCJPG00005012394
anas_platyrhynchos_platyrhynchos ENSAPLG00000023985
melopsittacus_undulatus ENSMUNG00000014847
calidris_pugnax ENSCPUG00000014067
salvator_merianae ENSSMRG00000006204
pogona_vitticeps ENSPVIG00000002867
