oryctolagus_cuniculus ENSOCUG00000009404
dasypus_novemcinctus ENSDNOG00000007086
canis_lupus_familiaris ENSCAFG00000030139
canis_lupus_dingo ENSCAFG00020021819
vulpes_vulpes ENSVVUG00000009960
neovison_vison ENSNVIG00000009584
mustela_putorius_furo ENSMPUG00000014236
ursus_americanus ENSUAMG00000000843
ursus_maritimus ENSUMAG00000008029
ailuropoda_melanoleuca ENSAMEG00000001329
panthera_pardus ENSPPRG00000007303
panthera_tigris_altaica ENSPTIG00000012082
felis_catus ENSFCAG00000023450
equus_caballus ENSECAG00000019912
equus_asinus_asinus ENSEASG00005018990
capra_hircus ENSCHIG00000022827
ovis_aries ENSOARG00000012762
bos_taurus ENSBTAG00000004617
bos_mutus ENSBMUG00000025767
bison_bison_bison ENSBBBG00000008480
tursiops_truncatus ENSTTRG00000021374
sus_scrofa ENSSSCG00000021724
pteropus_vampyrus ENSPVAG00000024104
pan_paniscus ENSPPAG00000031161
pan_troglodytes ENSPTRG00000051390
homo_sapiens ENSG00000196169
gorilla_gorilla ENSGGOG00000017046
pongo_abelii ENSPPYG00000008594
rhinopithecus_bieti ENSRBIG00000037520
rhinopithecus_roxellana ENSRROG00000003635
colobus_angolensis_palliatus ENSCANG00000035856
piliocolobus_tephrosceles ENSPTEG00000001197
macaca_fascicularis ENSMFAG00000005945
macaca_mulatta ENSMMUG00000020975
macaca_nemestrina ENSMNEG00000035117
mandrillus_leucophaeus ENSMLEG00000038617
cercocebus_atys ENSCATG00000033235
papio_anubis ENSPANG00000020278
chlorocebus_sabaeus ENSCSAG00000004533
saimiri_boliviensis_boliviensis ENSSBOG00000027134
cebus_capucinus_imitator ENSCCAG00000028047
callithrix_jacchus ENSCJAG00000014908
aotus_nancymaae ENSANAG00000036368
carlito_syrichta ENSTSYG00000031627
prolemur_simus ENSPSMG00000025648
propithecus_coquereli ENSPCOG00000000664
microcebus_murinus ENSMICG00000030912
otolemur_garnettii ENSOGAG00000024135
castor_canadensis ENSCCNG00000001314
dipodomys_ordii ENSDORG00000019849
mus_spicilegus ENSMSIG00000029752
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018221
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000010021
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017375
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018505
rattus_norvegicus ENSRNOG00000003105
meriones_unguiculatus ENSMUGG00000022226
cricetulus_griseus_crigri-picr ENSCGRG00015010750
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020512
cricetulus_griseus_crigri_1.0 ENSCGRG00000008242
mesocricetus_auratus ENSMAUG00000019643
microtus_ochrogaster ENSMOCG00000022165
peromyscus_maniculatus_bairdii ENSPEMG00000011747
