gorilla_gorilla ENSGGOG00000024670
homo_sapiens ENSG00000275356
pan_troglodytes ENSPTRG00000045666
nomascus_leucogenys ENSNLEG00000033858
macaca_fascicularis ENSMFAG00000042462
macaca_mulatta ENSMMUG00000041957
macaca_nemestrina ENSMNEG00000043524
cercocebus_atys ENSCATG00000013777
mandrillus_leucophaeus ENSMLEG00000036864
papio_anubis ENSPANG00000031266
colobus_angolensis_palliatus ENSCANG00000021250
piliocolobus_tephrosceles ENSPTEG00000027963
rhinopithecus_roxellana ENSRROG00000038413
rhinopithecus_bieti ENSRBIG00000043778
saimiri_boliviensis_boliviensis ENSSBOG00000026532
callithrix_jacchus ENSCJAG00000017553
cebus_capucinus_imitator ENSCCAG00000021706
aotus_nancymaae ENSANAG00000036414
