gadus_morhua ENSGMOG00000008277
gambusia_affinis ENSGAFG00000014397
bison_bison_bison ENSBBBG00000014777
sorex_araneus ENSSARG00000008751
rhinopithecus_roxellana ENSRROG00000037194
macaca_mulatta ENSMMUG00000001225
carlito_syrichta ENSTSYG00000033462
dasypus_novemcinctus ENSDNOG00000036079
latimeria_chalumnae ENSLACG00000001761
taeniopygia_guttata ENSTGUG00000010487
tursiops_truncatus ENSTTRG00000000553
notechis_scutatus ENSNSUG00000000770
periophthalmus_magnuspinnatus ENSPMGG00000014241
pundamilia_nyererei ENSPNYG00000008576
ictalurus_punctatus ENSIPUG00000006642
petromyzon_marinus ENSPMAG00000005685
