mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015439
mus_spicilegus ENSMSIG00000016944
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014632
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026426
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027868
rattus_norvegicus ENSRNOG00000005988
meriones_unguiculatus ENSMUGG00000008214
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020777
cricetulus_griseus_crigri_1.0 ENSCGRG00000006810
cricetulus_griseus_crigri-picr ENSCGRG00015024813
mesocricetus_auratus ENSMAUG00000005741
peromyscus_maniculatus_bairdii ENSPEMG00000009150
microtus_ochrogaster ENSMOCG00000011687
nannospalax_galili ENSNGAG00000007576
octodon_degus ENSODEG00000011676
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004366
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016670
jaculus_jaculus ENSJJAG00000023105
microcebus_murinus ENSMICG00000038748
capra_hircus ENSCHIG00000003028
bos_taurus ENSBTAG00000006574
sus_scrofa ENSSSCG00000036967
tursiops_truncatus ENSTTRG00000011223
equus_caballus ENSECAG00000021194
pteropus_vampyrus ENSPVAG00000014931
erinaceus_europaeus ENSEEUG00000013913
urocitellus_parryii ENSUPAG00010008698
ictidomys_tridecemlineatus ENSSTOG00000013990
papio_anubis ENSPANG00000006549
chlorocebus_sabaeus ENSCSAG00000014093
macaca_fascicularis ENSMFAG00000000767
macaca_mulatta ENSMMUG00000031357
macaca_nemestrina ENSMNEG00000039827
cercocebus_atys ENSCATG00000041869
theropithecus_gelada ENSTGEG00000020008
rhinopithecus_roxellana ENSRROG00000039378
rhinopithecus_bieti ENSRBIG00000044455
pan_troglodytes ENSPTRG00000001846
pan_paniscus ENSPPAG00000031562
homo_sapiens ENSG00000143862
gorilla_gorilla ENSGGOG00000027790
pongo_abelii ENSPPYG00000000352
cebus_capucinus_imitator ENSCCAG00000007022
callithrix_jacchus ENSCJAG00000005865
aotus_nancymaae ENSANAG00000030745
carlito_syrichta ENSTSYG00000031729
propithecus_coquereli ENSPCOG00000024352
otolemur_garnettii ENSOGAG00000030870
tupaia_belangeri ENSTBEG00000007276
neovison_vison ENSNVIG00000014610
ailuropoda_melanoleuca ENSAMEG00000011970
canis_lupus_dingo ENSCAFG00020016164
panthera_pardus ENSPPRG00000003884
felis_catus ENSFCAG00000018232
ochotona_princeps ENSOPRG00000004762
ursus_americanus ENSUAMG00000020350
dasypus_novemcinctus ENSDNOG00000048007
loxodonta_africana ENSLAFG00000015043
procavia_capensis ENSPCAG00000007412
cavia_aperea ENSCAPG00000016238
cavia_porcellus ENSCPOG00000023243
fukomys_damarensis ENSFDAG00000011528
oryctolagus_cuniculus ENSOCUG00000023009
colobus_angolensis_palliatus ENSCANG00000040285
piliocolobus_tephrosceles ENSPTEG00000027859
mandrillus_leucophaeus ENSMLEG00000038385
nomascus_leucogenys ENSNLEG00000018093
dipodomys_ordii ENSDORG00000010481
chinchilla_lanigera ENSCLAG00000011411
saimiri_boliviensis_boliviensis ENSSBOG00000021257
castor_canadensis ENSCCNG00000022666
mustela_putorius_furo ENSMPUG00000010959
ursus_maritimus ENSUMAG00000004297
vulpes_vulpes ENSVVUG00000006384
panthera_tigris_altaica ENSPTIG00000018939
equus_asinus_asinus ENSEASG00005019710
notamacropus_eugenii ENSMEUG00000015964
phascolarctos_cinereus ENSPCIG00000004915
sarcophilus_harrisii ENSSHAG00000012069
ornithorhynchus_anatinus ENSOANG00000011534
spermophilus_dauricus ENSSDAG00000004802
marmota_marmota_marmota ENSMMMG00000012740
ictidomys_tridecemlineatus ENSSTOG00000033383
bos_mutus ENSBMUG00000018182
monodelphis_domestica ENSMODG00000000562
serinus_canaria ENSSCAG00000006309
lonchura_striata_domestica ENSLSDG00000012635
junco_hyemalis ENSJHYG00000015888
zonotrichia_albicollis ENSZALG00000016000
calidris_pygmaea ENSCPGG00000010080
gallus_gallus ENSGALG00000000606
coturnix_japonica ENSCJPG00005006829
anser_brachyrhynchus ENSABRG00000016277
lepidothrix_coronata ENSLCOG00000006333
manacus_vitellinus ENSMVIG00005012965
cyanistes_caeruleus ENSCCEG00000020871
taeniopygia_guttata ENSTGUG00000001202
ficedula_albicollis ENSFALG00000002700
parus_major ENSPMJG00000007643
melopsittacus_undulatus ENSMUNG00000010436
calidris_pugnax ENSCPUG00000017332
anas_platyrhynchos_platyrhynchos ENSAPLG00000022318
apteryx_haastii ENSAHAG00000008774
apteryx_owenii ENSAOWG00000012011
apteryx_rowi ENSARWG00000007804
