lepisosteus_oculatus ENSLOCG00000004505
astyanax_mexicanus ENSAMXG00000013019
ursus_maritimus ENSUMAG00000019484
ursus_americanus ENSUAMG00000014084
canis_lupus_dingo ENSCAFG00020002628
panthera_pardus ENSPPRG00000024223
panthera_tigris_altaica ENSPTIG00000008134
felis_catus ENSFCAG00000041944
bos_mutus ENSBMUG00000008082
bos_taurus ENSBTAG00000054030
bison_bison_bison ENSBBBG00000012391
equus_asinus_asinus ENSEASG00005013542
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015711
fukomys_damarensis ENSFDAG00000013820
cavia_porcellus ENSCPOG00000038368
octodon_degus ENSODEG00000015124
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023007
nannospalax_galili ENSNGAG00000023669
urocitellus_parryii ENSUPAG00010019098
marmota_marmota_marmota ENSMMMG00000007642
carlito_syrichta ENSTSYG00000035397
phascolarctos_cinereus ENSPCIG00000004235
anolis_carolinensis ENSACAG00000002639
notechis_scutatus ENSNSUG00000012111
xenopus_tropicalis ENSXETG00000008166
latimeria_chalumnae ENSLACG00000016810
scleropages_formosus ENSSFOG00015022219
petromyzon_marinus ENSPMAG00000008139
eptatretus_burgeri ENSEBUG00000003628
