microcebus_murinus ENSMICG00000034887
propithecus_coquereli ENSPCOG00000025071
prolemur_simus ENSPSMG00000017792
otolemur_garnettii ENSOGAG00000025265
gorilla_gorilla ENSGGOG00000023590
pan_troglodytes ENSPTRG00000052755
nomascus_leucogenys ENSNLEG00000028816
rhinopithecus_bieti ENSRBIG00000031438
rhinopithecus_roxellana ENSRROG00000026586
colobus_angolensis_palliatus ENSCANG00000020029
piliocolobus_tephrosceles ENSPTEG00000032802
cercocebus_atys ENSCATG00000030569
theropithecus_gelada ENSTGEG00000003538
papio_anubis ENSPANG00000008595
macaca_fascicularis ENSMFAG00000036580
macaca_mulatta ENSMMUG00000018527
macaca_nemestrina ENSMNEG00000033340
chlorocebus_sabaeus ENSCSAG00000008700
aotus_nancymaae ENSANAG00000026619
cebus_capucinus_imitator ENSCCAG00000034598
chinchilla_lanigera ENSCLAG00000016785
octodon_degus ENSODEG00000017660
cavia_aperea ENSCAPG00000007078
cavia_porcellus ENSCPOG00000022649
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009671
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018636
fukomys_damarensis ENSFDAG00000005675
urocitellus_parryii ENSUPAG00010007785
ictidomys_tridecemlineatus ENSSTOG00000021128
marmota_marmota_marmota ENSMMMG00000000088
castor_canadensis ENSCCNG00000020957
dipodomys_ordii ENSDORG00000026896
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023398
mus_spicilegus ENSMSIG00000016505
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024871
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022482
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013979
rattus_norvegicus ENSRNOG00000018029
meriones_unguiculatus ENSMUGG00000021976
peromyscus_maniculatus_bairdii ENSPEMG00000005234
microtus_ochrogaster ENSMOCG00000007770
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018346
cricetulus_griseus_crigri-picr ENSCGRG00015019349
cricetulus_griseus_crigri_1.0 ENSCGRG00000017559
mesocricetus_auratus ENSMAUG00000017758
nannospalax_galili ENSNGAG00000014685
jaculus_jaculus ENSJJAG00000021341
ursus_americanus ENSUAMG00000009805
ursus_maritimus ENSUMAG00000013065
ailuropoda_melanoleuca ENSAMEG00000001078
mustela_putorius_furo ENSMPUG00000004052
neovison_vison ENSNVIG00000012787
canis_lupus_dingo ENSCAFG00020001779
canis_lupus_familiaris ENSCAFG00000011297
vulpes_vulpes ENSVVUG00000010218
panthera_pardus ENSPPRG00000006725
panthera_tigris_altaica ENSPTIG00000019451
felis_catus ENSFCAG00000022755
myotis_lucifugus ENSMLUG00000026150
myotis_lucifugus ENSMLUG00000028725
bos_mutus ENSBMUG00000021996
bos_taurus ENSBTAG00000021777
capra_hircus ENSCHIG00000020228
ovis_aries ENSOARG00000013555
sus_scrofa ENSSSCG00000012895
equus_asinus_asinus ENSEASG00005005966
equus_caballus ENSECAG00000022087
dasypus_novemcinctus ENSDNOG00000034928
loxodonta_africana ENSLAFG00000030851
phascolarctos_cinereus ENSPCIG00000022032
sarcophilus_harrisii ENSSHAG00000005499
