vicugna_pacos ENSVPAG00000011622
sus_scrofa ENSSSCG00000033131
castor_canadensis ENSCCNG00000023125
choloepus_hoffmanni ENSCHOG00000002939
latimeria_chalumnae ENSLACG00000006844
poecilia_formosa ENSPFOG00000020472
fundulus_heteroclitus ENSFHEG00000002648
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005919
cricetulus_griseus_crigri-picr ENSCGRG00015014433
microtus_ochrogaster ENSMOCG00000015321
peromyscus_maniculatus_bairdii ENSPEMG00000020720
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000004359
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016529
mus_spicilegus ENSMSIG00000018013
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015711
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031374
rattus_norvegicus ENSRNOG00000005720
nannospalax_galili ENSNGAG00000022893
jaculus_jaculus ENSJJAG00000014650
castor_canadensis ENSCCNG00000031752
dipodomys_ordii ENSDORG00000003709
ictidomys_tridecemlineatus ENSSTOG00000015457
ictidomys_tridecemlineatus ENSSTOG00000023841
spermophilus_dauricus ENSSDAG00000023137
spermophilus_dauricus ENSSDAG00000020700
ictidomys_tridecemlineatus ENSSTOG00000031326
marmota_marmota_marmota ENSMMMG00000017812
oryctolagus_cuniculus ENSOCUG00000024170
oryctolagus_cuniculus ENSOCUG00000008070
tupaia_belangeri ENSTBEG00000000328
prolemur_simus ENSPSMG00000013707
microcebus_murinus ENSMICG00000044168
propithecus_coquereli ENSPCOG00000009062
otolemur_garnettii ENSOGAG00000015148
pan_troglodytes ENSPTRG00000005351
pan_paniscus ENSPPAG00000029437
gorilla_gorilla ENSGGOG00000024597
homo_sapiens ENSG00000166211
pongo_abelii ENSPPYG00000004873
nomascus_leucogenys ENSNLEG00000006232
macaca_fascicularis ENSMFAG00000007308
macaca_nemestrina ENSMNEG00000029522
papio_anubis ENSPANG00000010728
cercocebus_atys ENSCATG00000037231
mandrillus_leucophaeus ENSMLEG00000038969
rhinopithecus_roxellana ENSRROG00000030204
papio_anubis ENSPANG00000018239
chlorocebus_sabaeus ENSCSAG00000003364
theropithecus_gelada ENSTGEG00000006435
mandrillus_leucophaeus ENSMLEG00000036502
cercocebus_atys ENSCATG00000039921
macaca_nemestrina ENSMNEG00000041759
macaca_fascicularis ENSMFAG00000003748
macaca_mulatta ENSMMUG00000020873
colobus_angolensis_palliatus ENSCANG00000041759
piliocolobus_tephrosceles ENSPTEG00000008629
rhinopithecus_roxellana ENSRROG00000044256
pan_paniscus ENSPPAG00000016006
pan_troglodytes ENSPTRG00000047371
gorilla_gorilla ENSGGOG00000042559
nomascus_leucogenys ENSNLEG00000018183
pan_troglodytes ENSPTRG00000047307
pan_paniscus ENSPPAG00000025361
gorilla_gorilla ENSGGOG00000040207
saimiri_boliviensis_boliviensis ENSSBOG00000031070
cebus_capucinus_imitator ENSCCAG00000023632
callithrix_jacchus ENSCJAG00000001906
aotus_nancymaae ENSANAG00000024577
carlito_syrichta ENSTSYG00000037147
canis_lupus_familiaris ENSCAFG00000007012
canis_lupus_dingo ENSCAFG00020024334
vulpes_vulpes ENSVVUG00000018039
mustela_putorius_furo ENSMPUG00000011857
neovison_vison ENSNVIG00000009598
ursus_americanus ENSUAMG00000016476
ursus_maritimus ENSUMAG00000019543
ailuropoda_melanoleuca ENSAMEG00000016464
panthera_pardus ENSPPRG00000018294
panthera_tigris_altaica ENSPTIG00000002890
felis_catus ENSFCAG00000034240
erinaceus_europaeus ENSEEUG00000012461
myotis_lucifugus ENSMLUG00000011052
pteropus_vampyrus ENSPVAG00000008121
equus_asinus_asinus ENSEASG00005020066
equus_caballus ENSECAG00000009614
equus_caballus ENSECAG00000021556
tursiops_truncatus ENSTTRG00000017205
sus_scrofa ENSSSCG00000000867
bos_mutus ENSBMUG00000009206
bos_mutus ENSBMUG00000005640
bos_mutus ENSBMUG00000018023
bos_taurus ENSBTAG00000009904
bison_bison_bison ENSBBBG00000015354
capra_hircus ENSCHIG00000026862
capra_hircus ENSCHIG00000012201
ovis_aries ENSOARG00000015018
capra_hircus ENSCHIG00000013009
loxodonta_africana ENSLAFG00000015661
echinops_telfairi ENSETEG00000004217
dasypus_novemcinctus ENSDNOG00000047193
phascolarctos_cinereus ENSPCIG00000033679
sarcophilus_harrisii ENSSHAG00000005809
monodelphis_domestica ENSMODG00000003044
gopherus_agassizii ENSGAGG00000001013
chelonoidis_abingdonii ENSCABG00000020115
chrysemys_picta_bellii ENSCPBG00000013392
pelodiscus_sinensis ENSPSIG00000015106
apteryx_owenii ENSAOWG00000016541
apteryx_rowi ENSARWG00000005842
apteryx_haastii ENSAHAG00000016380
nothoprocta_perdicaria ENSNPEG00000013902
dromaius_novaehollandiae ENSDNVG00000009803
gallus_gallus ENSGALG00000054799
coturnix_japonica ENSCJPG00005020299
meleagris_gallopavo ENSMGAG00000013107
numida_meleagris ENSNMEG00000012020
anser_brachyrhynchus ENSABRG00000006376
anas_platyrhynchos_platyrhynchos ENSAPLG00000007075
taeniopygia_guttata ENSTGUG00000011352
lonchura_striata_domestica ENSLSDG00000014966
serinus_canaria ENSSCAG00000010197
zonotrichia_albicollis ENSZALG00000015076
cyanistes_caeruleus ENSCCEG00000011111
parus_major ENSPMJG00000008925
ficedula_albicollis ENSFALG00000009065
calidris_pygmaea ENSCPGG00000010666
manacus_vitellinus ENSMVIG00005017177
manacus_vitellinus ENSMVIG00005000252
lepidothrix_coronata ENSLCOG00000009812
junco_hyemalis ENSJHYG00000007415
melopsittacus_undulatus ENSMUNG00000003079
calidris_pugnax ENSCPUG00000006510
crocodylus_porosus ENSCPRG00005018174
anolis_carolinensis ENSACAG00000016809
pogona_vitticeps ENSPVIG00000013474
sphenodon_punctatus ENSSPUG00000007276
latimeria_chalumnae ENSLACG00000007445
ornithorhynchus_anatinus ENSOANG00000005577
scleropages_formosus ENSSFOG00015001658
paramormyrops_kingsleyae ENSPKIG00000007092
astyanax_mexicanus ENSAMXG00000015800
pygocentrus_nattereri ENSPNAG00000018232
ictalurus_punctatus ENSIPUG00000017583
danio_rerio ENSDARG00000012435
takifugu_rubripes ENSTRUG00000011424
tetraodon_nigroviridis ENSTNIG00000000056
mola_mola ENSMMOG00000001327
gasterosteus_aculeatus ENSGACG00000019889
oryzias_latipes_asm223467v1 ENSORLG00000023569
oryzias_latipes_asm223471v1 ENSORLG00020011751
oryzias_latipes_asm223469v1 ENSORLG00015010590
oryzias_melastigma ENSOMEG00000005008
labrus_bergylta ENSLBEG00000010806
cynoglossus_semilaevis ENSCSEG00000006869
amphiprion_ocellaris ENSAOCG00000001191
amphiprion_percula ENSAPEG00000008947
acanthochromis_polyacanthus ENSAPOG00000002560
stegastes_partitus ENSSPAG00000023306
fundulus_heteroclitus ENSFHEG00000002655
cyprinodon_variegatus ENSCVAG00000015000
poecilia_formosa ENSPFOG00000010380
poecilia_latipinna ENSPLAG00000003849
poecilia_mexicana ENSPMEG00000002423
poecilia_reticulata ENSPREG00000022899
gambusia_affinis ENSGAFG00000017649
xiphophorus_couchianus ENSXCOG00000013770
xiphophorus_maculatus ENSXMAG00000005531
kryptolebias_marmoratus ENSKMAG00000010487
mastacembelus_armatus ENSMAMG00000012999
monopterus_albus ENSMALG00000010006
anabas_testudineus ENSATEG00000019894
seriola_lalandi_dorsalis ENSSLDG00000021842
seriola_dumerili ENSSDUG00000000538
neolamprologus_brichardi ENSNBRG00000009212
oreochromis_niloticus ENSONIG00000000031
astatotilapia_calliptera ENSACLG00000020444
maylandia_zebra ENSMZEG00005003465
pundamilia_nyererei ENSPNYG00000016663
haplochromis_burtoni ENSHBUG00000010323
amphilophus_citrinellus ENSACIG00000001812
scophthalmus_maximus ENSSMAG00000003622
periophthalmus_magnuspinnatus ENSPMGG00000002587
hippocampus_comes ENSHCOG00000007523
gadus_morhua ENSGMOG00000003788
esox_lucius ENSELUG00000003655
lepisosteus_oculatus ENSLOCG00000015193
pygocentrus_nattereri ENSPNAG00000018216
astyanax_mexicanus ENSAMXG00000033995
ictalurus_punctatus ENSIPUG00000017572
danio_rerio ENSDARG00000087438
kryptolebias_marmoratus ENSKMAG00000010471
poecilia_reticulata ENSPREG00000022906
oryzias_latipes_asm223467v1 ENSORLG00000015776
oryzias_latipes_asm223469v1 ENSORLG00015010609
oryzias_latipes_asm223471v1 ENSORLG00020011761
oryzias_melastigma ENSOMEG00000005027
takifugu_rubripes ENSTRUG00000024541
labrus_bergylta ENSLBEG00000010853
periophthalmus_magnuspinnatus ENSPMGG00000002591
monopterus_albus ENSMALG00000010023
anabas_testudineus ENSATEG00000019886
seriola_lalandi_dorsalis ENSSLDG00000021834
seriola_dumerili ENSSDUG00000000543
haplochromis_burtoni ENSHBUG00000000751
maylandia_zebra ENSMZEG00005003446
neolamprologus_brichardi ENSNBRG00000009204
amphilophus_citrinellus ENSACIG00000001822
cynoglossus_semilaevis ENSCSEG00000006866
mastacembelus_armatus ENSMAMG00000012991
esox_lucius ENSELUG00000003623
lepisosteus_oculatus ENSLOCG00000017893
astyanax_mexicanus ENSAMXG00000032045
pygocentrus_nattereri ENSPNAG00000022166
ictalurus_punctatus ENSIPUG00000014200
poecilia_formosa ENSPFOG00000003488
poecilia_latipinna ENSPLAG00000001847
poecilia_mexicana ENSPMEG00000017164
poecilia_reticulata ENSPREG00000019817
xiphophorus_maculatus ENSXMAG00000008205
gambusia_affinis ENSGAFG00000007399
oryzias_latipes_asm223471v1 ENSORLG00020005115
oryzias_latipes_asm223467v1 ENSORLG00000008369
oryzias_latipes_asm223469v1 ENSORLG00015021617
oryzias_melastigma ENSOMEG00000014822
stegastes_partitus ENSSPAG00000023505
amphilophus_citrinellus ENSACIG00000014678
mola_mola ENSMMOG00000011389
tetraodon_nigroviridis ENSTNIG00000015030
gasterosteus_aculeatus ENSGACG00000009805
fundulus_heteroclitus ENSFHEG00000005878
cyprinodon_variegatus ENSCVAG00000015193
kryptolebias_marmoratus ENSKMAG00000020307
amphiprion_percula ENSAPEG00000005072
amphiprion_ocellaris ENSAOCG00000023099
acanthochromis_polyacanthus ENSAPOG00000018701
mastacembelus_armatus ENSMAMG00000008335
monopterus_albus ENSMALG00000012522
anabas_testudineus ENSATEG00000023401
seriola_lalandi_dorsalis ENSSLDG00000002336
scophthalmus_maximus ENSSMAG00000005857
labrus_bergylta ENSLBEG00000008847
takifugu_rubripes ENSTRUG00000021009
