amphiprion_percula ENSAPEG00000017034
amphiprion_ocellaris ENSAOCG00000008529
acanthochromis_polyacanthus ENSAPOG00000015826
stegastes_partitus ENSSPAG00000001298
xiphophorus_maculatus ENSXMAG00000001853
xiphophorus_couchianus ENSXCOG00000019914
poecilia_latipinna ENSPLAG00000018109
poecilia_latipinna ENSPLAG00000000144
cyprinodon_variegatus ENSCVAG00000005327
haplochromis_burtoni ENSHBUG00000008825
pundamilia_nyererei ENSPNYG00000005663
maylandia_zebra ENSMZEG00005009368
astatotilapia_calliptera ENSACLG00000024642
neolamprologus_brichardi ENSNBRG00000002376
scophthalmus_maximus ENSSMAG00000001507
cynoglossus_semilaevis ENSCSEG00000003050
seriola_dumerili ENSSDUG00000007915
mastacembelus_armatus ENSMAMG00000023966
hippocampus_comes ENSHCOG00000004165
mola_mola ENSMMOG00000021822
takifugu_rubripes ENSTRUG00000025824
labrus_bergylta ENSLBEG00000017983
