rhinopithecus_roxellana ENSRROG00000035756
otolemur_garnettii ENSOGAG00000008290
cavia_aperea ENSCAPG00000008723
rattus_norvegicus ENSRNOG00000023762
erinaceus_europaeus ENSEEUG00000014668
sorex_araneus ENSSARG00000000620
ovis_aries ENSOARG00000002537
capra_hircus ENSCHIG00000011968
sus_scrofa ENSSSCG00000027556
vulpes_vulpes ENSVVUG00000020061
ursus_americanus ENSUAMG00000024774
dasypus_novemcinctus ENSDNOG00000031677
procavia_capensis ENSPCAG00000007316
notamacropus_eugenii ENSMEUG00000012163
monodelphis_domestica ENSMODG00000015684
calidris_pygmaea ENSCPGG00000004230
calidris_pugnax ENSCPUG00000016510
manacus_vitellinus ENSMVIG00005016979
serinus_canaria ENSSCAG00000009194
meleagris_gallopavo ENSMGAG00000010633
chrysemys_picta_bellii ENSCPBG00000018373
gopherus_agassizii ENSGAGG00000002811
loxodonta_africana ENSLAFG00000017819
ornithorhynchus_anatinus ENSOANG00000020697
manacus_vitellinus ENSMVIG00005016984
cyanistes_caeruleus ENSCCEG00000000082
junco_hyemalis ENSJHYG00000003853
sphenodon_punctatus ENSSPUG00000018678
vulpes_vulpes ENSVVUG00000020068
gasterosteus_aculeatus ENSGACG00000009247
mastacembelus_armatus ENSMAMG00000010411
stegastes_partitus ENSSPAG00000002688
amphiprion_ocellaris ENSAOCG00000024414
poecilia_latipinna ENSPLAG00000013207
gadus_morhua ENSGMOG00000008513
danio_rerio ENSDARG00000033987
ciona_intestinalis ENSCING00000003608
caenorhabditis_elegans_strain_n2 WBGene00022376
