microtus_ochrogaster ENSMOCG00000009644
peromyscus_maniculatus_bairdii ENSPEMG00000018666
cricetulus_griseus_crigri-picr ENSCGRG00015009293
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019262
cricetulus_griseus_crigri_1.0 ENSCGRG00000016115
mesocricetus_auratus ENSMAUG00000011548
mus_spicilegus ENSMSIG00000001901
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000048485
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027499
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026519
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028850
rattus_norvegicus ENSRNOG00000026898
meriones_unguiculatus ENSMUGG00000003697
nannospalax_galili ENSNGAG00000015993
jaculus_jaculus ENSJJAG00000004661
castor_canadensis ENSCCNG00000006794
chinchilla_lanigera ENSCLAG00000007766
octodon_degus ENSODEG00000003151
cavia_porcellus ENSCPOG00000035601
cavia_aperea ENSCAPG00000006661
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005791
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010541
fukomys_damarensis ENSFDAG00000008343
oryctolagus_cuniculus ENSOCUG00000011975
ochotona_princeps ENSOPRG00000000880
dipodomys_ordii ENSDORG00000003080
tupaia_belangeri ENSTBEG00000017763
sorex_araneus ENSSARG00000013492
echinops_telfairi ENSETEG00000001618
pan_troglodytes ENSPTRG00000000485
pan_paniscus ENSPPAG00000043193
homo_sapiens ENSG00000273274
homo_sapiens ENSG00000254553
gorilla_gorilla ENSGGOG00000026784
pongo_abelii ENSPPYG00000001591
mandrillus_leucophaeus ENSMLEG00000005706
cercocebus_atys ENSCATG00000042686
theropithecus_gelada ENSTGEG00000016087
papio_anubis ENSPANG00000016510
macaca_fascicularis ENSMFAG00000037573
macaca_nemestrina ENSMNEG00000036353
chlorocebus_sabaeus ENSCSAG00000001057
piliocolobus_tephrosceles ENSPTEG00000023423
colobus_angolensis_palliatus ENSCANG00000012924
rhinopithecus_bieti ENSRBIG00000039211
rhinopithecus_roxellana ENSRROG00000027416
saimiri_boliviensis_boliviensis ENSSBOG00000020256
cebus_capucinus_imitator ENSCCAG00000033010
callithrix_jacchus ENSCJAG00000023238
aotus_nancymaae ENSANAG00000020530
carlito_syrichta ENSTSYG00000033381
propithecus_coquereli ENSPCOG00000017768
microcebus_murinus ENSMICG00000027401
prolemur_simus ENSPSMG00000019497
otolemur_garnettii ENSOGAG00000013012
urocitellus_parryii ENSUPAG00010005360
ictidomys_tridecemlineatus ENSSTOG00000027615
