spermophilus_dauricus ENSSDAG00000024528
fukomys_damarensis ENSFDAG00000005829
pan_troglodytes ENSPTRG00000016131
pan_paniscus ENSPPAG00000034080
homo_sapiens ENSG00000171195
gorilla_gorilla ENSGGOG00000037020
pongo_abelii ENSPPYG00000014805
nomascus_leucogenys ENSNLEG00000032824
macaca_fascicularis ENSMFAG00000038598
macaca_nemestrina ENSMNEG00000044685
macaca_mulatta ENSMMUG00000019386
chlorocebus_sabaeus ENSCSAG00000004879
theropithecus_gelada ENSTGEG00000016822
papio_anubis ENSPANG00000008488
mandrillus_leucophaeus ENSMLEG00000028921
cercocebus_atys ENSCATG00000040053
colobus_angolensis_palliatus ENSCANG00000027814
piliocolobus_tephrosceles ENSPTEG00000008805
rhinopithecus_bieti ENSRBIG00000028545
rhinopithecus_roxellana ENSRROG00000036195
cebus_capucinus_imitator ENSCCAG00000023162
saimiri_boliviensis_boliviensis ENSSBOG00000012785
callithrix_jacchus ENSCJAG00000014653
aotus_nancymaae ENSANAG00000015942
propithecus_coquereli ENSPCOG00000012677
microcebus_murinus ENSMICG00000043840
ailuropoda_melanoleuca ENSAMEG00000005825
canis_lupus_familiaris ENSCAFG00000028696
mustela_putorius_furo ENSMPUG00000009707
pteropus_vampyrus ENSPVAG00000001066
equus_caballus ENSECAG00000032326
vicugna_pacos ENSVPAG00000008788
ovis_aries ENSOARG00000011228
sus_scrofa ENSSSCG00000036999
erinaceus_europaeus ENSEEUG00000005075
