mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027925
rattus_norvegicus ENSRNOG00000042517
meriones_unguiculatus ENSMUGG00000006351
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025264
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026209
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026710
meriones_unguiculatus ENSMUGG00000024741
peromyscus_maniculatus_bairdii ENSPEMG00000026597
peromyscus_maniculatus_bairdii ENSPEMG00000030738
cricetulus_griseus_crigri-picr ENSCGRG00015007629
cricetulus_griseus_crigri-picr ENSCGRG00015007613
meriones_unguiculatus ENSMUGG00000003061
