gambusia_affinis ENSGAFG00000008196
poecilia_reticulata ENSPREG00000009932
cyprinodon_variegatus ENSCVAG00000006847
oryzias_melastigma ENSOMEG00000007897
oryzias_melastigma ENSOMEG00000014350
oryzias_latipes_asm223471v1 ENSORLG00020008511
oryzias_latipes_asm223467v1 ENSORLG00000025489
oryzias_latipes_asm223467v1 ENSORLG00000027480
oryzias_latipes_asm223467v1 ENSORLG00000029031
oryzias_latipes_asm223471v1 ENSORLG00020011804
oryzias_latipes_asm223467v1 ENSORLG00000026828
oryzias_latipes_asm223469v1 ENSORLG00015008156
oryzias_latipes_asm223467v1 ENSORLG00000030461
oryzias_latipes_asm223467v1 ENSORLG00000022735
xiphophorus_maculatus ENSXMAG00000029080
xiphophorus_maculatus ENSXMAG00000021182
xiphophorus_maculatus ENSXMAG00000022898
xiphophorus_maculatus ENSXMAG00000023005
xiphophorus_maculatus ENSXMAG00000027652
xiphophorus_maculatus ENSXMAG00000029434
xiphophorus_maculatus ENSXMAG00000026698
fundulus_heteroclitus ENSFHEG00000000608
maylandia_zebra ENSMZEG00005022807
takifugu_rubripes ENSTRUG00000024169
mastacembelus_armatus ENSMAMG00000005248
