anabas_testudineus ENSATEG00000018256
mastacembelus_armatus ENSMAMG00000012188
seriola_dumerili ENSSDUG00000023218
seriola_lalandi_dorsalis ENSSLDG00000010120
scophthalmus_maximus ENSSMAG00000016244
cynoglossus_semilaevis ENSCSEG00000019583
monopterus_albus ENSMALG00000018886
tetraodon_nigroviridis ENSTNIG00000015200
takifugu_rubripes ENSTRUG00000011072
mola_mola ENSMMOG00000001619
labrus_bergylta ENSLBEG00000024526
amphiprion_ocellaris ENSAOCG00000022063
amphiprion_ocellaris ENSAOCG00000022092
amphiprion_percula ENSAPEG00000010048
acanthochromis_polyacanthus ENSAPOG00000020398
stegastes_partitus ENSSPAG00000005982
maylandia_zebra ENSMZEG00005012905
astatotilapia_calliptera ENSACLG00000006827
pundamilia_nyererei ENSPNYG00000020445
oreochromis_niloticus ENSONIG00000020081
neolamprologus_brichardi ENSNBRG00000013364
amphilophus_citrinellus ENSACIG00000017351
xiphophorus_maculatus ENSXMAG00000025902
xiphophorus_couchianus ENSXCOG00000001706
gambusia_affinis ENSGAFG00000014232
poecilia_formosa ENSPFOG00000004315
poecilia_latipinna ENSPLAG00000020722
poecilia_mexicana ENSPMEG00000016112
poecilia_reticulata ENSPREG00000023187
fundulus_heteroclitus ENSFHEG00000002942
cyprinodon_variegatus ENSCVAG00000005704
kryptolebias_marmoratus ENSKMAG00000016014
oryzias_latipes_asm223467v1 ENSORLG00000006594
oryzias_latipes_asm223471v1 ENSORLG00020014609
oryzias_latipes_asm223469v1 ENSORLG00015013111
oryzias_melastigma ENSOMEG00000019333
gasterosteus_aculeatus ENSGACG00000007839
hippocampus_comes ENSHCOG00000000786
periophthalmus_magnuspinnatus ENSPMGG00000005329
gadus_morhua ENSGMOG00000007269
esox_lucius ENSELUG00000004258
pygocentrus_nattereri ENSPNAG00000022453
astyanax_mexicanus ENSAMXG00000021113
ictalurus_punctatus ENSIPUG00000016628
danio_rerio ENSDARG00000010556
paramormyrops_kingsleyae ENSPKIG00000005705
scleropages_formosus ENSSFOG00015021407
astyanax_mexicanus ENSAMXG00000009899
pygocentrus_nattereri ENSPNAG00000018893
danio_rerio ENSDARG00000077290
esox_lucius ENSELUG00000006348
paramormyrops_kingsleyae ENSPKIG00000018969
scleropages_formosus ENSSFOG00015006326
