ornithorhynchus_anatinus ENSOANG00000011188
salvator_merianae ENSSMRG00000002865
pygocentrus_nattereri ENSPNAG00000009917
astyanax_mexicanus ENSAMXG00000025991
ictalurus_punctatus ENSIPUG00000004246
danio_rerio ENSDARG00000069866
hippocampus_comes ENSHCOG00000000875
periophthalmus_magnuspinnatus ENSPMGG00000010314
cynoglossus_semilaevis ENSCSEG00000004405
scophthalmus_maximus ENSSMAG00000000930
cynoglossus_semilaevis ENSCSEG00000004400
poecilia_latipinna ENSPLAG00000011028
poecilia_formosa ENSPFOG00000015998
poecilia_mexicana ENSPMEG00000002892
poecilia_reticulata ENSPREG00000008412
xiphophorus_maculatus ENSXMAG00000019932
xiphophorus_couchianus ENSXCOG00000018769
fundulus_heteroclitus ENSFHEG00000012555
cyprinodon_variegatus ENSCVAG00000005555
kryptolebias_marmoratus ENSKMAG00000001638
oryzias_latipes_asm223469v1 ENSORLG00015014663
oryzias_latipes_asm223471v1 ENSORLG00020000284
oryzias_latipes_asm223467v1 ENSORLG00000012110
oryzias_melastigma ENSOMEG00000011835
labrus_bergylta ENSLBEG00000018628
mola_mola ENSMMOG00000019810
takifugu_rubripes ENSTRUG00000014518
tetraodon_nigroviridis ENSTNIG00000013867
gasterosteus_aculeatus ENSGACG00000002889
mastacembelus_armatus ENSMAMG00000016891
monopterus_albus ENSMALG00000004779
anabas_testudineus ENSATEG00000008767
seriola_dumerili ENSSDUG00000006843
seriola_lalandi_dorsalis ENSSLDG00000005256
amphiprion_percula ENSAPEG00000006437
amphiprion_ocellaris ENSAOCG00000014177
stegastes_partitus ENSSPAG00000008219
acanthochromis_polyacanthus ENSAPOG00000006082
haplochromis_burtoni ENSHBUG00000005417
haplochromis_burtoni ENSHBUG00000005534
pundamilia_nyererei ENSPNYG00000014161
astatotilapia_calliptera ENSACLG00000001158
maylandia_zebra ENSMZEG00005022003
neolamprologus_brichardi ENSNBRG00000003701
oreochromis_niloticus ENSONIG00000020427
amphilophus_citrinellus ENSACIG00000022280
gadus_morhua ENSGMOG00000020606
esox_lucius ENSELUG00000019950
danio_rerio ENSDARG00000008131
scleropages_formosus ENSSFOG00015000717
scleropages_formosus ENSSFOG00015010680
lepisosteus_oculatus ENSLOCG00000017799
latimeria_chalumnae ENSLACG00000005331
oryctolagus_cuniculus ENSOCUG00000017925
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020352
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031933
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000096014
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030824
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021286
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010891
mesocricetus_auratus ENSMAUG00000007129
microtus_ochrogaster ENSMOCG00000003790
castor_canadensis ENSCCNG00000014088
urocitellus_parryii ENSUPAG00010005204
homo_sapiens ENSG00000182968
pan_troglodytes ENSPTRG00000040942
pongo_abelii ENSPPYG00000005512
theropithecus_gelada ENSTGEG00000015137
cercocebus_atys ENSCATG00000023653
macaca_mulatta ENSMMUG00000048708
macaca_fascicularis ENSMFAG00000019013
papio_anubis ENSPANG00000011484
chlorocebus_sabaeus ENSCSAG00000017460
piliocolobus_tephrosceles ENSPTEG00000032742
nomascus_leucogenys ENSNLEG00000000409
callithrix_jacchus ENSCJAG00000046184
cebus_capucinus_imitator ENSCCAG00000020070
propithecus_coquereli ENSPCOG00000014143
microcebus_murinus ENSMICG00000026656
prolemur_simus ENSPSMG00000025169
otolemur_garnettii ENSOGAG00000034416
meriones_unguiculatus ENSMUGG00000009426
sus_scrofa ENSSSCG00000038835
vicugna_pacos ENSVPAG00000003952
capra_hircus ENSCHIG00000018585
canis_lupus_dingo ENSCAFG00020020144
canis_lupus_familiaris ENSCAFG00000006137
panthera_pardus ENSPPRG00000018932
dasypus_novemcinctus ENSDNOG00000023758
macaca_nemestrina ENSMNEG00000034443
monodelphis_domestica ENSMODG00000004267
notamacropus_eugenii ENSMEUG00000016617
salvator_merianae ENSSMRG00000000638
notechis_scutatus ENSNSUG00000006703
anolis_carolinensis ENSACAG00000006346
sphenodon_punctatus ENSSPUG00000008372
taeniopygia_guttata ENSTGUG00000008915
ficedula_albicollis ENSFALG00000012180
junco_hyemalis ENSJHYG00000004142
lepidothrix_coronata ENSLCOG00000005881
calidris_pygmaea ENSCPGG00000018533
anas_platyrhynchos_platyrhynchos ENSAPLG00000030309
anser_brachyrhynchus ENSABRG00000006986
gallus_gallus ENSGALG00000030353
coturnix_japonica ENSCJPG00005015959
apteryx_rowi ENSARWG00000013638
nothoprocta_perdicaria ENSNPEG00000005819
chelonoidis_abingdonii ENSCABG00000016157
calidris_pugnax ENSCPUG00000006708
apteryx_haastii ENSAHAG00000008228
pelodiscus_sinensis ENSPSIG00000008370
xenopus_tropicalis ENSXETG00000001902
poecilia_mexicana ENSPMEG00000005872
poecilia_formosa ENSPFOG00000008756
poecilia_latipinna ENSPLAG00000012948
poecilia_reticulata ENSPREG00000011495
xiphophorus_maculatus ENSXMAG00000019447
xiphophorus_couchianus ENSXCOG00000020285
gambusia_affinis ENSGAFG00000004512
fundulus_heteroclitus ENSFHEG00000022335
cyprinodon_variegatus ENSCVAG00000008751
oryzias_latipes_asm223469v1 ENSORLG00015013679
oryzias_latipes_asm223467v1 ENSORLG00000027672
oryzias_latipes_asm223471v1 ENSORLG00020014830
oryzias_melastigma ENSOMEG00000009509
gasterosteus_aculeatus ENSGACG00000014850
labrus_bergylta ENSLBEG00000020021
anabas_testudineus ENSATEG00000004770
scophthalmus_maximus ENSSMAG00000004680
oreochromis_niloticus ENSONIG00000021020
maylandia_zebra ENSMZEG00005008255
amphilophus_citrinellus ENSACIG00000004403
amphiprion_ocellaris ENSAOCG00000003467
amphiprion_percula ENSAPEG00000005036
stegastes_partitus ENSSPAG00000010125
acanthochromis_polyacanthus ENSAPOG00000000957
monopterus_albus ENSMALG00000018021
mastacembelus_armatus ENSMAMG00000021660
seriola_dumerili ENSSDUG00000021280
seriola_lalandi_dorsalis ENSSLDG00000001549
takifugu_rubripes ENSTRUG00000021237
tetraodon_nigroviridis ENSTNIG00000012196
kryptolebias_marmoratus ENSKMAG00000011088
hippocampus_comes ENSHCOG00000008937
periophthalmus_magnuspinnatus ENSPMGG00000020110
gadus_morhua ENSGMOG00000014644
pygocentrus_nattereri ENSPNAG00000024384
astyanax_mexicanus ENSAMXG00000035402
ictalurus_punctatus ENSIPUG00000020846
petromyzon_marinus ENSPMAG00000009737
eptatretus_burgeri ENSEBUG00000008605
mola_mola ENSMMOG00000005680
ciona_savignyi ENSCSAVG00000000494
drosophila_melanogaster FBgn0029123
