mustela_putorius_furo ENSMPUG00000007162
ailuropoda_melanoleuca ENSAMEG00000007047
otolemur_garnettii ENSOGAG00000000527
propithecus_coquereli ENSPCOG00000016149
cebus_capucinus_imitator ENSCCAG00000028269
papio_anubis ENSPANG00000017745
echinops_telfairi ENSETEG00000008039
lepidothrix_coronata ENSLCOG00000000946
anolis_carolinensis ENSACAG00000014854
gopherus_agassizii ENSGAGG00000024140
chelonoidis_abingdonii ENSCABG00000019774
chrysemys_picta_bellii ENSCPBG00000000618
pelodiscus_sinensis ENSPSIG00000015121
apteryx_owenii ENSAOWG00000002998
apteryx_haastii ENSAHAG00000010843
apteryx_rowi ENSARWG00000007792
nothoprocta_perdicaria ENSNPEG00000004088
anser_brachyrhynchus ENSABRG00000006704
anas_platyrhynchos_platyrhynchos ENSAPLG00000000972
gallus_gallus ENSGALG00000050762
coturnix_japonica ENSCJPG00005021414
meleagris_gallopavo ENSMGAG00000015425
pogona_vitticeps ENSPVIG00000001381
anolis_carolinensis ENSACAG00000017392
salvator_merianae ENSSMRG00000021630
notechis_scutatus ENSNSUG00000009643
sphenodon_punctatus ENSSPUG00000018617
crocodylus_porosus ENSCPRG00005002214
ornithorhynchus_anatinus ENSOANG00000005797
