gallus_gallus ENSGALG00000027983
coturnix_japonica ENSCJPG00005013610
meleagris_gallopavo ENSMGAG00000007803
numida_meleagris ENSNMEG00000004736
anas_platyrhynchos_platyrhynchos ENSAPLG00000024440
junco_hyemalis ENSJHYG00000012114
zonotrichia_albicollis ENSZALG00000006489
serinus_canaria ENSSCAG00000014838
taeniopygia_guttata ENSTGUG00000009557
lonchura_striata_domestica ENSLSDG00000009984
ficedula_albicollis ENSFALG00000007476
cyanistes_caeruleus ENSCCEG00000014416
parus_major ENSPMJG00000019603
manacus_vitellinus ENSMVIG00005003520
lepidothrix_coronata ENSLCOG00000000755
melopsittacus_undulatus ENSMUNG00000008409
calidris_pugnax ENSCPUG00000017111
calidris_pygmaea ENSCPGG00000018398
apteryx_owenii ENSAOWG00000018377
apteryx_rowi ENSARWG00000007250
apteryx_haastii ENSAHAG00000006203
dromaius_novaehollandiae ENSDNVG00000006519
chrysemys_picta_bellii ENSCPBG00000017358
chelonoidis_abingdonii ENSCABG00000004928
salvator_merianae ENSSMRG00000016476
xenopus_tropicalis ENSXETG00000003076
latimeria_chalumnae ENSLACG00000006018
lepisosteus_oculatus ENSLOCG00000006982
pygocentrus_nattereri ENSPNAG00000013028
astyanax_mexicanus ENSAMXG00000016898
ictalurus_punctatus ENSIPUG00000011162
danio_rerio ENSDARG00000104409
mola_mola ENSMMOG00000017895
hippocampus_comes ENSHCOG00000002110
cynoglossus_semilaevis ENSCSEG00000018456
seriola_dumerili ENSSDUG00000006092
seriola_lalandi_dorsalis ENSSLDG00000006204
scophthalmus_maximus ENSSMAG00000011560
takifugu_rubripes ENSTRUG00000001594
tetraodon_nigroviridis ENSTNIG00000007877
gasterosteus_aculeatus ENSGACG00000016384
labrus_bergylta ENSLBEG00000019655
mastacembelus_armatus ENSMAMG00000018614
monopterus_albus ENSMALG00000005220
anabas_testudineus ENSATEG00000002652
amphiprion_ocellaris ENSAOCG00000013310
amphiprion_percula ENSAPEG00000023155
acanthochromis_polyacanthus ENSAPOG00000016555
stegastes_partitus ENSSPAG00000005594
poecilia_formosa ENSPFOG00000012933
poecilia_latipinna ENSPLAG00000015092
poecilia_mexicana ENSPMEG00000016202
poecilia_reticulata ENSPREG00000003105
xiphophorus_maculatus ENSXMAG00000017201
xiphophorus_couchianus ENSXCOG00000007747
gambusia_affinis ENSGAFG00000008671
fundulus_heteroclitus ENSFHEG00000014229
cyprinodon_variegatus ENSCVAG00000014268
kryptolebias_marmoratus ENSKMAG00000007183
oryzias_latipes_asm223469v1 ENSORLG00015006739
oryzias_latipes_asm223467v1 ENSORLG00000009687
oryzias_latipes_asm223471v1 ENSORLG00020011424
oryzias_melastigma ENSOMEG00000007936
haplochromis_burtoni ENSHBUG00000011244
pundamilia_nyererei ENSPNYG00000001460
astatotilapia_calliptera ENSACLG00000014853
maylandia_zebra ENSMZEG00005008486
neolamprologus_brichardi ENSNBRG00000007910
oreochromis_niloticus ENSONIG00000018667
amphilophus_citrinellus ENSACIG00000007718
gadus_morhua ENSGMOG00000018867
esox_lucius ENSELUG00000016720
scleropages_formosus ENSSFOG00015010731
paramormyrops_kingsleyae ENSPKIG00000013992
scleropages_formosus ENSSFOG00015008297
paramormyrops_kingsleyae ENSPKIG00000020686
eptatretus_burgeri ENSEBUG00000006679
