kryptolebias_marmoratus ENSKMAG00000003398
fundulus_heteroclitus ENSFHEG00000019268
amphilophus_citrinellus ENSACIG00000013073
scophthalmus_maximus ENSSMAG00000010290
takifugu_rubripes ENSTRUG00000023064
tetraodon_nigroviridis ENSTNIG00000007631
gasterosteus_aculeatus ENSGACG00000020816
oryzias_latipes_asm223471v1 ENSORLG00020007733
oryzias_latipes_asm223467v1 ENSORLG00000015508
oryzias_latipes_asm223469v1 ENSORLG00015014098
oryzias_melastigma ENSOMEG00000023758
xiphophorus_maculatus ENSXMAG00000024013
gambusia_affinis ENSGAFG00000011295
poecilia_mexicana ENSPMEG00000023305
poecilia_formosa ENSPFOG00000012614
poecilia_latipinna ENSPLAG00000019906
xiphophorus_couchianus ENSXCOG00000018783
poecilia_reticulata ENSPREG00000014083
cyprinodon_variegatus ENSCVAG00000009458
amphiprion_percula ENSAPEG00000006096
amphiprion_ocellaris ENSAOCG00000012926
acanthochromis_polyacanthus ENSAPOG00000023386
stegastes_partitus ENSSPAG00000003092
haplochromis_burtoni ENSHBUG00000014586
pundamilia_nyererei ENSPNYG00000013075
maylandia_zebra ENSMZEG00005011868
astatotilapia_calliptera ENSACLG00000024640
neolamprologus_brichardi ENSNBRG00000014854
oreochromis_niloticus ENSONIG00000013234
mastacembelus_armatus ENSMAMG00000021810
monopterus_albus ENSMALG00000015924
anabas_testudineus ENSATEG00000013726
seriola_lalandi_dorsalis ENSSLDG00000000936
seriola_dumerili ENSSDUG00000004820
labrus_bergylta ENSLBEG00000019943
cynoglossus_semilaevis ENSCSEG00000020662
hippocampus_comes ENSHCOG00000018879
periophthalmus_magnuspinnatus ENSPMGG00000018671
esox_lucius ENSELUG00000019430
paramormyrops_kingsleyae ENSPKIG00000010023
scleropages_formosus ENSSFOG00015010932
astyanax_mexicanus ENSAMXG00000000848
pygocentrus_nattereri ENSPNAG00000021166
ictalurus_punctatus ENSIPUG00000019069
gadus_morhua ENSGMOG00000009538
lepisosteus_oculatus ENSLOCG00000012444
notechis_scutatus ENSNSUG00000016515
salvator_merianae ENSSMRG00000015124
sphenodon_punctatus ENSSPUG00000012278
gopherus_agassizii ENSGAGG00000013398
chelonoidis_abingdonii ENSCABG00000012559
chrysemys_picta_bellii ENSCPBG00000002221
anser_brachyrhynchus ENSABRG00000017143
anas_platyrhynchos_platyrhynchos ENSAPLG00000019600
gallus_gallus ENSGALG00000035104
coturnix_japonica ENSCJPG00005007202
numida_meleagris ENSNMEG00000018070
calidris_pygmaea ENSCPGG00000015806
calidris_pugnax ENSCPUG00000001444
ficedula_albicollis ENSFALG00000008331
junco_hyemalis ENSJHYG00000001753
lonchura_striata_domestica ENSLSDG00000010032
parus_major ENSPMJG00000007805
lepidothrix_coronata ENSLCOG00000003304
melopsittacus_undulatus ENSMUNG00000001054
dromaius_novaehollandiae ENSDNVG00000002321
apteryx_rowi ENSARWG00000015572
nothoprocta_perdicaria ENSNPEG00000005843
ovis_aries ENSOARG00000009843
capra_hircus ENSCHIG00000002958
bos_taurus ENSBTAG00000002335
sus_scrofa ENSSSCG00000031080
erinaceus_europaeus ENSEEUG00000003255
equus_caballus ENSECAG00000005327
equus_asinus_asinus ENSEASG00005001085
canis_lupus_familiaris ENSCAFG00000017641
canis_lupus_dingo ENSCAFG00020023848
vulpes_vulpes ENSVVUG00000004676
neovison_vison ENSNVIG00000019849
mustela_putorius_furo ENSMPUG00000013570
panthera_pardus ENSPPRG00000010229
felis_catus ENSFCAG00000014986
cebus_capucinus_imitator ENSCCAG00000036939
saimiri_boliviensis_boliviensis ENSSBOG00000024034
callithrix_jacchus ENSCJAG00000009817
aotus_nancymaae ENSANAG00000031480
mandrillus_leucophaeus ENSMLEG00000031062
cercocebus_atys ENSCATG00000033921
macaca_mulatta ENSMMUG00000010621
macaca_fascicularis ENSMFAG00000000456
macaca_nemestrina ENSMNEG00000033467
theropithecus_gelada ENSTGEG00000006557
