oryzias_melastigma ENSOMEG00000019589
poecilia_reticulata ENSPREG00000016188
maylandia_zebra ENSMZEG00005003988
pundamilia_nyererei ENSPNYG00000015734
astatotilapia_calliptera ENSACLG00000015484
haplochromis_burtoni ENSHBUG00000011781
scophthalmus_maximus ENSSMAG00000013657
cynoglossus_semilaevis ENSCSEG00000020107
seriola_dumerili ENSSDUG00000010067
seriola_lalandi_dorsalis ENSSLDG00000020530
mastacembelus_armatus ENSMAMG00000016936
anabas_testudineus ENSATEG00000016493
poecilia_mexicana ENSPMEG00000017470
poecilia_formosa ENSPFOG00000020206
poecilia_latipinna ENSPLAG00000008317
poecilia_reticulata ENSPREG00000023048
xiphophorus_maculatus ENSXMAG00000023119
xiphophorus_couchianus ENSXCOG00000007007
oryzias_latipes_asm223467v1 ENSORLG00000022326
oryzias_latipes_asm223467v1 ENSORLG00000028965
oryzias_latipes_asm223471v1 ENSORLG00020005339
oryzias_latipes_asm223469v1 ENSORLG00015010588
gasterosteus_aculeatus ENSGACG00000020712
hippocampus_comes ENSHCOG00000001884
haplochromis_burtoni ENSHBUG00000022865
astatotilapia_calliptera ENSACLG00000016521
pundamilia_nyererei ENSPNYG00000016626
maylandia_zebra ENSMZEG00005016767
neolamprologus_brichardi ENSNBRG00000021161
oreochromis_niloticus ENSONIG00000005278
amphilophus_citrinellus ENSACIG00000011897
acanthochromis_polyacanthus ENSAPOG00000005641
amphiprion_percula ENSAPEG00000001548
mola_mola ENSMMOG00000016669
takifugu_rubripes ENSTRUG00000020929
periophthalmus_magnuspinnatus ENSPMGG00000020076
chelonoidis_abingdonii ENSCABG00000021908
