manacus_vitellinus ENSMVIG00005007534
lepidothrix_coronata ENSLCOG00000009454
cyanistes_caeruleus ENSCCEG00000005571
parus_major ENSPMJG00000004270
lonchura_striata_domestica ENSLSDG00000014134
taeniopygia_guttata ENSTGUG00000005271
junco_hyemalis ENSJHYG00000002536
zonotrichia_albicollis ENSZALG00000005013
serinus_canaria ENSSCAG00000012927
ficedula_albicollis ENSFALG00000005250
calidris_pugnax ENSCPUG00000002906
calidris_pygmaea ENSCPGG00000009790
melopsittacus_undulatus ENSMUNG00000006156
anser_brachyrhynchus ENSABRG00000018904
anas_platyrhynchos_platyrhynchos ENSAPLG00000008950
gallus_gallus ENSGALG00000004285
coturnix_japonica ENSCJPG00005001004
meleagris_gallopavo ENSMGAG00000003970
numida_meleagris ENSNMEG00000015941
apteryx_haastii ENSAHAG00000000540
apteryx_owenii ENSAOWG00000004469
apteryx_rowi ENSARWG00000001556
dromaius_novaehollandiae ENSDNVG00000000718
nothoprocta_perdicaria ENSNPEG00000011137
crocodylus_porosus ENSCPRG00005011728
gopherus_agassizii ENSGAGG00000021816
chelonoidis_abingdonii ENSCABG00000019968
chrysemys_picta_bellii ENSCPBG00000026775
pelodiscus_sinensis ENSPSIG00000012689
taeniopygia_guttata ENSTGUG00000016715
anolis_carolinensis ENSACAG00000016803
pogona_vitticeps ENSPVIG00000023647
notechis_scutatus ENSNSUG00000014724
salvator_merianae ENSSMRG00000005888
sphenodon_punctatus ENSSPUG00000013849
peromyscus_maniculatus_bairdii ENSPEMG00000013465
microtus_ochrogaster ENSMOCG00000012352
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015386
cricetulus_griseus_crigri_1.0 ENSCGRG00000001884
cricetulus_griseus_crigri-picr ENSCGRG00015022614
mus_spicilegus ENSMSIG00000028595
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025540
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000017950
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024618
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026062
rattus_norvegicus ENSRNOG00000008895
meriones_unguiculatus ENSMUGG00000020944
nannospalax_galili ENSNGAG00000022956
urocitellus_parryii ENSUPAG00010001027
marmota_marmota_marmota ENSMMMG00000013628
spermophilus_dauricus ENSSDAG00000004982
ictidomys_tridecemlineatus ENSSTOG00000020202
dipodomys_ordii ENSDORG00000005971
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018091
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009505
fukomys_damarensis ENSFDAG00000011216
chinchilla_lanigera ENSCLAG00000016192
octodon_degus ENSODEG00000015535
cavia_aperea ENSCAPG00000015197
cavia_porcellus ENSCPOG00000006812
oryctolagus_cuniculus ENSOCUG00000006841
castor_canadensis ENSCCNG00000006872
jaculus_jaculus ENSJJAG00000020210
bos_mutus ENSBMUG00000002357
bos_taurus ENSBTAG00000012116
bison_bison_bison ENSBBBG00000001755
ovis_aries ENSOARG00000003928
pan_paniscus ENSPPAG00000037962
pan_troglodytes ENSPTRG00000013519
gorilla_gorilla ENSGGOG00000006988
homo_sapiens ENSG00000101076
pongo_abelii ENSPPYG00000011031
nomascus_leucogenys ENSNLEG00000006596
macaca_fascicularis ENSMFAG00000035660
macaca_mulatta ENSMMUG00000006464
macaca_nemestrina ENSMNEG00000043900
cercocebus_atys ENSCATG00000041186
mandrillus_leucophaeus ENSMLEG00000037820
theropithecus_gelada ENSTGEG00000021663
papio_anubis ENSPANG00000026281
chlorocebus_sabaeus ENSCSAG00000014124
piliocolobus_tephrosceles ENSPTEG00000021985
colobus_angolensis_palliatus ENSCANG00000028938
rhinopithecus_bieti ENSRBIG00000036273
rhinopithecus_roxellana ENSRROG00000030368
cebus_capucinus_imitator ENSCCAG00000029070
saimiri_boliviensis_boliviensis ENSSBOG00000035054
callithrix_jacchus ENSCJAG00000017746
aotus_nancymaae ENSANAG00000023826
ochotona_princeps ENSOPRG00000014280
mustela_putorius_furo ENSMPUG00000017669
erinaceus_europaeus ENSEEUG00000004910
sorex_araneus ENSSARG00000000082
equus_caballus ENSECAG00000024450
echinops_telfairi ENSETEG00000005706
mesocricetus_auratus ENSMAUG00000007993
ursus_americanus ENSUAMG00000017088
ursus_maritimus ENSUMAG00000000364
ailuropoda_melanoleuca ENSAMEG00000003960
neovison_vison ENSNVIG00000011576
