homo_sapiens ENSG00000183888
gorilla_gorilla ENSGGOG00000007932
pan_paniscus ENSPPAG00000029320
pan_troglodytes ENSPTRG00000040888
pongo_abelii ENSPPYG00000001832
nomascus_leucogenys ENSNLEG00000007670
rhinopithecus_bieti ENSRBIG00000031032
rhinopithecus_roxellana ENSRROG00000043048
piliocolobus_tephrosceles ENSPTEG00000034238
colobus_angolensis_palliatus ENSCANG00000002406
theropithecus_gelada ENSTGEG00000023541
papio_anubis ENSPANG00000006292
macaca_mulatta ENSMMUG00000001911
macaca_fascicularis ENSMFAG00000045613
macaca_nemestrina ENSMNEG00000041116
cercocebus_atys ENSCATG00000034090
mandrillus_leucophaeus ENSMLEG00000036731
chlorocebus_sabaeus ENSCSAG00000000843
cebus_capucinus_imitator ENSCCAG00000025835
callithrix_jacchus ENSCJAG00000008497
saimiri_boliviensis_boliviensis ENSSBOG00000030246
aotus_nancymaae ENSANAG00000030546
carlito_syrichta ENSTSYG00000002962
prolemur_simus ENSPSMG00000006981
microcebus_murinus ENSMICG00000026862
propithecus_coquereli ENSPCOG00000024435
otolemur_garnettii ENSOGAG00000031033
tupaia_belangeri ENSTBEG00000012415
mus_spicilegus ENSMSIG00000014155
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026743
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070637
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029074
cricetulus_griseus_crigri-picr ENSCGRG00015001375
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024454
jaculus_jaculus ENSJJAG00000007887
castor_canadensis ENSCCNG00000009287
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010058
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016968
fukomys_damarensis ENSFDAG00000014572
cavia_porcellus ENSCPOG00000036293
ictidomys_tridecemlineatus ENSSTOG00000015599
urocitellus_parryii ENSUPAG00010018039
spermophilus_dauricus ENSSDAG00000014713
marmota_marmota_marmota ENSMMMG00000021634
oryctolagus_cuniculus ENSOCUG00000010850
ochotona_princeps ENSOPRG00000007654
ursus_maritimus ENSUMAG00000021624
ursus_americanus ENSUAMG00000015005
ailuropoda_melanoleuca ENSAMEG00000011786
mustela_putorius_furo ENSMPUG00000016312
neovison_vison ENSNVIG00000012000
canis_lupus_familiaris ENSCAFG00000016118
canis_lupus_dingo ENSCAFG00020004910
vulpes_vulpes ENSVVUG00000028954
panthera_tigris_altaica ENSPTIG00000007048
panthera_pardus ENSPPRG00000000970
felis_catus ENSFCAG00000044158
equus_caballus ENSECAG00000024814
equus_asinus_asinus ENSEASG00005015903
bos_mutus ENSBMUG00000004268
bos_taurus ENSBTAG00000010938
bison_bison_bison ENSBBBG00000021060
ovis_aries ENSOARG00000012573
tursiops_truncatus ENSTTRG00000015708
sus_scrofa ENSSSCG00000036026
vicugna_pacos ENSVPAG00000011988
pteropus_vampyrus ENSPVAG00000013807
myotis_lucifugus ENSMLUG00000010219
erinaceus_europaeus ENSEEUG00000001527
sorex_araneus ENSSARG00000010874
loxodonta_africana ENSLAFG00000010966
dasypus_novemcinctus ENSDNOG00000039535
