junco_hyemalis ENSJHYG00000003419
zonotrichia_albicollis ENSZALG00000014168
serinus_canaria ENSSCAG00000012213
taeniopygia_guttata ENSTGUG00000013518
lonchura_striata_domestica ENSLSDG00000017863
cyanistes_caeruleus ENSCCEG00000002711
parus_major ENSPMJG00000012240
ficedula_albicollis ENSFALG00000001513
lepidothrix_coronata ENSLCOG00000008792
manacus_vitellinus ENSMVIG00005005421
melopsittacus_undulatus ENSMUNG00000007271
calidris_pugnax ENSCPUG00000003983
anser_brachyrhynchus ENSABRG00000017150
anas_platyrhynchos_platyrhynchos ENSAPLG00000007417
meleagris_gallopavo ENSMGAG00000014446
coturnix_japonica ENSCJPG00005003375
gallus_gallus ENSGALG00000015474
numida_meleagris ENSNMEG00000010419
apteryx_owenii ENSAOWG00000002625
apteryx_rowi ENSARWG00000002940
apteryx_haastii ENSAHAG00000012273
dromaius_novaehollandiae ENSDNVG00000004608
nothoprocta_perdicaria ENSNPEG00000006704
danio_rerio ENSDARG00000115550
