notechis_scutatus ENSNSUG00000006627
anolis_carolinensis ENSACAG00000014949
salvator_merianae ENSSMRG00000007603
sphenodon_punctatus ENSSPUG00000001153
cyanistes_caeruleus ENSCCEG00000009423
lonchura_striata_domestica ENSLSDG00000016275
melopsittacus_undulatus ENSMUNG00000001439
gallus_gallus ENSGALG00000019019
coturnix_japonica ENSCJPG00005014006
meleagris_gallopavo ENSMGAG00000017203
meleagris_gallopavo ENSMGAG00000014171
numida_meleagris ENSNMEG00000005911
anser_brachyrhynchus ENSABRG00000013172
anas_platyrhynchos_platyrhynchos ENSAPLG00000020046
junco_hyemalis ENSJHYG00000011512
zonotrichia_albicollis ENSZALG00000007294
serinus_canaria ENSSCAG00000001984
parus_major ENSPMJG00000009851
ficedula_albicollis ENSFALG00000003026
lepidothrix_coronata ENSLCOG00000006165
calidris_pugnax ENSCPUG00000012552
dromaius_novaehollandiae ENSDNVG00000014346
nothoprocta_perdicaria ENSNPEG00000001570
apteryx_rowi ENSARWG00000012395
apteryx_owenii ENSAOWG00000011516
apteryx_haastii ENSAHAG00000000232
crocodylus_porosus ENSCPRG00005008092
chelonoidis_abingdonii ENSCABG00000017607
gopherus_agassizii ENSGAGG00000005927
chrysemys_picta_bellii ENSCPBG00000026347
pelodiscus_sinensis ENSPSIG00000015578
propithecus_coquereli ENSPCOG00000016800
prolemur_simus ENSPSMG00000010209
microcebus_murinus ENSMICG00000009002
otolemur_garnettii ENSOGAG00000003476
saimiri_boliviensis_boliviensis ENSSBOG00000025469
cebus_capucinus_imitator ENSCCAG00000021009
callithrix_jacchus ENSCJAG00000006249
aotus_nancymaae ENSANAG00000031485
pan_troglodytes ENSPTRG00000001478
pan_paniscus ENSPPAG00000034577
homo_sapiens ENSG00000198400
gorilla_gorilla ENSGGOG00000013819
pongo_abelii ENSPPYG00000000698
nomascus_leucogenys ENSNLEG00000012811
mandrillus_leucophaeus ENSMLEG00000038744
papio_anubis ENSPANG00000009056
theropithecus_gelada ENSTGEG00000002475
macaca_mulatta ENSMMUG00000012424
macaca_nemestrina ENSMNEG00000043790
macaca_fascicularis ENSMFAG00000030600
cercocebus_atys ENSCATG00000043708
chlorocebus_sabaeus ENSCSAG00000002215
rhinopithecus_roxellana ENSRROG00000030646
rhinopithecus_bieti ENSRBIG00000043376
colobus_angolensis_palliatus ENSCANG00000038563
piliocolobus_tephrosceles ENSPTEG00000014617
castor_canadensis ENSCCNG00000024141
dipodomys_ordii ENSDORG00000005096
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028072
mus_spicilegus ENSMSIG00000022497
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026081
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025140
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026583
rattus_norvegicus ENSRNOG00000013953
meriones_unguiculatus ENSMUGG00000026822
peromyscus_maniculatus_bairdii ENSPEMG00000002759
microtus_ochrogaster ENSMOCG00000001237
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004956
cricetulus_griseus_crigri-picr ENSCGRG00015025860
cricetulus_griseus_crigri_1.0 ENSCGRG00000003579
mesocricetus_auratus ENSMAUG00000007176
nannospalax_galili ENSNGAG00000018474
jaculus_jaculus ENSJJAG00000019787
ictidomys_tridecemlineatus ENSSTOG00000007842
urocitellus_parryii ENSUPAG00010004768
marmota_marmota_marmota ENSMMMG00000013240
chinchilla_lanigera ENSCLAG00000004234
octodon_degus ENSODEG00000010373
cavia_porcellus ENSCPOG00000003195
cavia_aperea ENSCAPG00000017019
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003069
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011813
fukomys_damarensis ENSFDAG00000006461
oryctolagus_cuniculus ENSOCUG00000010696
ochotona_princeps ENSOPRG00000000693
tupaia_belangeri ENSTBEG00000003441
bos_taurus ENSBTAG00000003060
bos_mutus ENSBMUG00000015741
bison_bison_bison ENSBBBG00000004133
capra_hircus ENSCHIG00000023266
ovis_aries ENSOARG00000006460
sus_scrofa ENSSSCG00000006464
