gadus_morhua ENSGMOG00000002829
esox_lucius ENSELUG00000000367
anolis_carolinensis ENSACAG00000026425
sphenodon_punctatus ENSSPUG00000017701
dipodomys_ordii ENSDORG00000005238
castor_canadensis ENSCCNG00000022822
chinchilla_lanigera ENSCLAG00000017524
octodon_degus ENSODEG00000020218
cavia_porcellus ENSCPOG00000012027
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019945
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020348
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019206
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000049539
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018339
mus_spicilegus ENSMSIG00000005904
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019402
rattus_norvegicus ENSRNOG00000017175
meriones_unguiculatus ENSMUGG00000000981
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010065
cricetulus_griseus_crigri_1.0 ENSCGRG00000020000
mesocricetus_auratus ENSMAUG00000018142
microtus_ochrogaster ENSMOCG00000002837
peromyscus_maniculatus_bairdii ENSPEMG00000024910
nannospalax_galili ENSNGAG00000007966
jaculus_jaculus ENSJJAG00000013035
ictidomys_tridecemlineatus ENSSTOG00000005952
urocitellus_parryii ENSUPAG00010005929
marmota_marmota_marmota ENSMMMG00000001780
oryctolagus_cuniculus ENSOCUG00000007397
ochotona_princeps ENSOPRG00000005887
ursus_americanus ENSUAMG00000016405
ursus_maritimus ENSUMAG00000020836
ailuropoda_melanoleuca ENSAMEG00000019543
canis_lupus_familiaris ENSCAFG00000024309
canis_lupus_dingo ENSCAFG00020009139
vulpes_vulpes ENSVVUG00000025333
neovison_vison ENSNVIG00000006362
panthera_pardus ENSPPRG00000015695
felis_catus ENSFCAG00000005962
erinaceus_europaeus ENSEEUG00000012748
bos_mutus ENSBMUG00000000911
bison_bison_bison ENSBBBG00000007772
capra_hircus ENSCHIG00000012377
tursiops_truncatus ENSTTRG00000016730
vicugna_pacos ENSVPAG00000008215
equus_asinus_asinus ENSEASG00005005252
equus_caballus ENSECAG00000002887
pan_paniscus ENSPPAG00000011952
pan_troglodytes ENSPTRG00000017796
homo_sapiens ENSG00000124610
gorilla_gorilla ENSGGOG00000040919
pongo_abelii ENSPPYG00000016298
nomascus_leucogenys ENSNLEG00000018344
chlorocebus_sabaeus ENSCSAG00000019100
theropithecus_gelada ENSTGEG00000021492
piliocolobus_tephrosceles ENSPTEG00000001093
prolemur_simus ENSPSMG00000005152
dasypus_novemcinctus ENSDNOG00000047377
choloepus_hoffmanni ENSCHOG00000010710
loxodonta_africana ENSLAFG00000002274
procavia_capensis ENSPCAG00000002578
