numida_meleagris ENSNMEG00000013101
ornithorhynchus_anatinus ENSOANG00000022185
vulpes_vulpes ENSVVUG00000011843
ornithorhynchus_anatinus ENSOANG00000000723
ursus_americanus ENSUAMG00000002150
castor_canadensis ENSCCNG00000013546
bos_mutus ENSBMUG00000013170
bos_taurus ENSBTAG00000013977
bison_bison_bison ENSBBBG00000016108
ovis_aries ENSOARG00000006731
tursiops_truncatus ENSTTRG00000006734
myotis_lucifugus ENSMLUG00000012972
ursus_maritimus ENSUMAG00000000967
ursus_americanus ENSUAMG00000017248
ailuropoda_melanoleuca ENSAMEG00000007189
mustela_putorius_furo ENSMPUG00000000932
neovison_vison ENSNVIG00000023749
canis_lupus_familiaris ENSCAFG00000001184
canis_lupus_dingo ENSCAFG00020005690
vulpes_vulpes ENSVVUG00000030382
panthera_tigris_altaica ENSPTIG00000011289
panthera_pardus ENSPPRG00000003250
felis_catus ENSFCAG00000002338
equus_asinus_asinus ENSEASG00005017526
equus_caballus ENSECAG00000020942
erinaceus_europaeus ENSEEUG00000001526
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017269
mus_spicilegus ENSMSIG00000021101
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000049291
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016434
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017564
rattus_norvegicus ENSRNOG00000022548
meriones_unguiculatus ENSMUGG00000002257
peromyscus_maniculatus_bairdii ENSPEMG00000000315
microtus_ochrogaster ENSMOCG00000020492
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019522
cricetulus_griseus_crigri_1.0 ENSCGRG00000009038
mesocricetus_auratus ENSMAUG00000019978
nannospalax_galili ENSNGAG00000012956
jaculus_jaculus ENSJJAG00000022512
castor_canadensis ENSCCNG00000030348
ictidomys_tridecemlineatus ENSSTOG00000027275
urocitellus_parryii ENSUPAG00010009560
marmota_marmota_marmota ENSMMMG00000017421
spermophilus_dauricus ENSSDAG00000021073
cavia_porcellus ENSCPOG00000022885
fukomys_damarensis ENSFDAG00000006740
oryctolagus_cuniculus ENSOCUG00000002731
ochotona_princeps ENSOPRG00000005508
pan_troglodytes ENSPTRG00000002061
pan_paniscus ENSPPAG00000029608
homo_sapiens ENSG00000185888
gorilla_gorilla ENSGGOG00000012849
pongo_abelii ENSPPYG00000000152
nomascus_leucogenys ENSNLEG00000014112
mandrillus_leucophaeus ENSMLEG00000031236
cercocebus_atys ENSCATG00000028007
macaca_fascicularis ENSMFAG00000045626
macaca_nemestrina ENSMNEG00000036811
papio_anubis ENSPANG00000024006
theropithecus_gelada ENSTGEG00000002385
chlorocebus_sabaeus ENSCSAG00000016434
rhinopithecus_roxellana ENSRROG00000032353
rhinopithecus_bieti ENSRBIG00000029350
piliocolobus_tephrosceles ENSPTEG00000026272
colobus_angolensis_palliatus ENSCANG00000036993
cebus_capucinus_imitator ENSCCAG00000020907
saimiri_boliviensis_boliviensis ENSSBOG00000025229
callithrix_jacchus ENSCJAG00000011705
carlito_syrichta ENSTSYG00000011299
propithecus_coquereli ENSPCOG00000019582
prolemur_simus ENSPSMG00000005137
microcebus_murinus ENSMICG00000042943
otolemur_garnettii ENSOGAG00000026355
tupaia_belangeri ENSTBEG00000011648
sorex_araneus ENSSARG00000004240
procavia_capensis ENSPCAG00000009871
loxodonta_africana ENSLAFG00000005934
dasypus_novemcinctus ENSDNOG00000031710
phascolarctos_cinereus ENSPCIG00000031488
monodelphis_domestica ENSMODG00000013841
mastacembelus_armatus ENSMAMG00000020960
scophthalmus_maximus ENSSMAG00000011166
chelonoidis_abingdonii ENSCABG00000003947
gopherus_agassizii ENSGAGG00000022233
chrysemys_picta_bellii ENSCPBG00000015649
junco_hyemalis ENSJHYG00000002200
zonotrichia_albicollis ENSZALG00000012774
serinus_canaria ENSSCAG00000006017
lonchura_striata_domestica ENSLSDG00000015742
taeniopygia_guttata ENSTGUG00000005352
cyanistes_caeruleus ENSCCEG00000007858
parus_major ENSPMJG00000014141
ficedula_albicollis ENSFALG00000007067
lepidothrix_coronata ENSLCOG00000015429
manacus_vitellinus ENSMVIG00005011829
calidris_pygmaea ENSCPGG00000019587
calidris_pugnax ENSCPUG00000010513
melopsittacus_undulatus ENSMUNG00000000218
anas_platyrhynchos_platyrhynchos ENSAPLG00000008866
anser_brachyrhynchus ENSABRG00000004597
gallus_gallus ENSGALG00000035368
meleagris_gallopavo ENSMGAG00000002599
coturnix_japonica ENSCJPG00005011950
apteryx_haastii ENSAHAG00000007399
apteryx_owenii ENSAOWG00000017582
apteryx_rowi ENSARWG00000018446
dromaius_novaehollandiae ENSDNVG00000017041
anolis_carolinensis ENSACAG00000001737
notamacropus_eugenii ENSMEUG00000001783
phascolarctos_cinereus ENSPCIG00000028049
monodelphis_domestica ENSMODG00000005442
sarcophilus_harrisii ENSSHAG00000007517
homo_sapiens ENSG00000141086
gorilla_gorilla ENSGGOG00000013893
pan_troglodytes ENSPTRG00000008253
pan_paniscus ENSPPAG00000036784
