canis_lupus_familiaris ENSCAFG00000031809
canis_lupus_dingo ENSCAFG00020004326
neovison_vison ENSNVIG00000012224
loxodonta_africana ENSLAFG00000022986
procavia_capensis ENSPCAG00000011212
ursus_americanus ENSUAMG00000019735
ailuropoda_melanoleuca ENSAMEG00000005772
mustela_putorius_furo ENSMPUG00000017229
panthera_tigris_altaica ENSPTIG00000010669
bos_mutus ENSBMUG00000012306
bison_bison_bison ENSBBBG00000020888
equus_caballus ENSECAG00000018537
equus_asinus_asinus ENSEASG00005005227
meriones_unguiculatus ENSMUGG00000018309
oryctolagus_cuniculus ENSOCUG00000007281
pan_paniscus ENSPPAG00000033171
pan_troglodytes ENSPTRG00000007258
homo_sapiens ENSG00000138622
gorilla_gorilla ENSGGOG00000008824
pongo_abelii ENSPPYG00000006623
nomascus_leucogenys ENSNLEG00000014219
colobus_angolensis_palliatus ENSCANG00000031267
piliocolobus_tephrosceles ENSPTEG00000025102
rhinopithecus_roxellana ENSRROG00000037884
rhinopithecus_bieti ENSRBIG00000020337
cercocebus_atys ENSCATG00000038423
papio_anubis ENSPANG00000016138
mandrillus_leucophaeus ENSMLEG00000032698
theropithecus_gelada ENSTGEG00000027566
macaca_fascicularis ENSMFAG00000003272
macaca_mulatta ENSMMUG00000016564
macaca_nemestrina ENSMNEG00000007609
chlorocebus_sabaeus ENSCSAG00000013995
saimiri_boliviensis_boliviensis ENSSBOG00000025566
cebus_capucinus_imitator ENSCCAG00000020192
callithrix_jacchus ENSCJAG00000045223
aotus_nancymaae ENSANAG00000023908
castor_canadensis ENSCCNG00000027645
nannospalax_galili ENSNGAG00000021711
peromyscus_maniculatus_bairdii ENSPEMG00000019979
microtus_ochrogaster ENSMOCG00000020737
cricetulus_griseus_crigri_1.0 ENSCGRG00000011681
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024944
cricetulus_griseus_crigri-picr ENSCGRG00015024141
mesocricetus_auratus ENSMAUG00000017082
mus_spicilegus ENSMSIG00000006733
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033438
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000032338
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032298
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015164
rattus_norvegicus ENSRNOG00000009450
jaculus_jaculus ENSJJAG00000012432
urocitellus_parryii ENSUPAG00010005082
ictidomys_tridecemlineatus ENSSTOG00000012286
marmota_marmota_marmota ENSMMMG00000003582
carlito_syrichta ENSTSYG00000030627
felis_catus ENSFCAG00000005227
sus_scrofa ENSSSCG00000001920
bos_taurus ENSBTAG00000017466
