equus_asinus_asinus ENSEASG00005001895
equus_caballus ENSECAG00000008292
myotis_lucifugus ENSMLUG00000006729
bos_mutus ENSBMUG00000018295
bos_taurus ENSBTAG00000036297
capra_hircus ENSCHIG00000012122
ovis_aries ENSOARG00000004047
tursiops_truncatus ENSTTRG00000009044
sus_scrofa ENSSSCG00000005773
pteropus_vampyrus ENSPVAG00000004804
ursus_americanus ENSUAMG00000025841
ursus_maritimus ENSUMAG00000004891
ailuropoda_melanoleuca ENSAMEG00000010402
canis_lupus_familiaris ENSCAFG00000024219
canis_lupus_dingo ENSCAFG00020014628
vulpes_vulpes ENSVVUG00000018977
neovison_vison ENSNVIG00000010964
mustela_putorius_furo ENSMPUG00000016664
panthera_tigris_altaica ENSPTIG00000011268
panthera_pardus ENSPPRG00000014340
felis_catus ENSFCAG00000046543
pan_troglodytes ENSPTRG00000010137
pan_paniscus ENSPPAG00000027669
homo_sapiens ENSG00000101546
gorilla_gorilla ENSGGOG00000003131
pongo_abelii ENSPPYG00000009264
nomascus_leucogenys ENSNLEG00000008385
piliocolobus_tephrosceles ENSPTEG00000028240
colobus_angolensis_palliatus ENSCANG00000031216
rhinopithecus_roxellana ENSRROG00000030353
rhinopithecus_bieti ENSRBIG00000039066
macaca_fascicularis ENSMFAG00000045009
macaca_nemestrina ENSMNEG00000034003
macaca_mulatta ENSMMUG00000014855
papio_anubis ENSPANG00000009263
theropithecus_gelada ENSTGEG00000007828
cercocebus_atys ENSCATG00000013051
mandrillus_leucophaeus ENSMLEG00000041494
chlorocebus_sabaeus ENSCSAG00000018256
cebus_capucinus_imitator ENSCCAG00000025293
saimiri_boliviensis_boliviensis ENSSBOG00000024646
callithrix_jacchus ENSCJAG00000010125
aotus_nancymaae ENSANAG00000029578
carlito_syrichta ENSTSYG00000034439
prolemur_simus ENSPSMG00000023949
propithecus_coquereli ENSPCOG00000015534
microcebus_murinus ENSMICG00000011956
otolemur_garnettii ENSOGAG00000012673
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023348
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024570
mus_spicilegus ENSMSIG00000002719
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022433
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019161
rattus_norvegicus ENSRNOG00000055647
meriones_unguiculatus ENSMUGG00000019532
peromyscus_maniculatus_bairdii ENSPEMG00000021588
microtus_ochrogaster ENSMOCG00000018963
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022798
cricetulus_griseus_crigri_1.0 ENSCGRG00000011061
cricetulus_griseus_crigri-picr ENSCGRG00015013943
mesocricetus_auratus ENSMAUG00000010060
nannospalax_galili ENSNGAG00000011739
jaculus_jaculus ENSJJAG00000014093
castor_canadensis ENSCCNG00000004463
cavia_porcellus ENSCPOG00000000170
chinchilla_lanigera ENSCLAG00000012122
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002196
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001471
fukomys_damarensis ENSFDAG00000015122
urocitellus_parryii ENSUPAG00010001023
ictidomys_tridecemlineatus ENSSTOG00000010308
marmota_marmota_marmota ENSMMMG00000019128
spermophilus_dauricus ENSSDAG00000015226
dasypus_novemcinctus ENSDNOG00000034036
dasypus_novemcinctus ENSDNOG00000031944
procavia_capensis ENSPCAG00000009755
loxodonta_africana ENSLAFG00000015100
echinops_telfairi ENSETEG00000018132
monodelphis_domestica ENSMODG00000011935
sarcophilus_harrisii ENSSHAG00000000881
ornithorhynchus_anatinus ENSOANG00000014166
anolis_carolinensis ENSACAG00000001323
pogona_vitticeps ENSPVIG00000002461
notechis_scutatus ENSNSUG00000016709
salvator_merianae ENSSMRG00000004670
sphenodon_punctatus ENSSPUG00000007015
anser_brachyrhynchus ENSABRG00000010066
anas_platyrhynchos_platyrhynchos ENSAPLG00000015494
meleagris_gallopavo ENSMGAG00000002129
coturnix_japonica ENSCJPG00005017999
gallus_gallus ENSGALG00000036067
numida_meleagris ENSNMEG00000001491
zonotrichia_albicollis ENSZALG00000003557
junco_hyemalis ENSJHYG00000014350
serinus_canaria ENSSCAG00000015790
ficedula_albicollis ENSFALG00000013303
cyanistes_caeruleus ENSCCEG00000017647
parus_major ENSPMJG00000018146
taeniopygia_guttata ENSTGUG00000013924
taeniopygia_guttata ENSTGUG00000006676
lonchura_striata_domestica ENSLSDG00000004137
manacus_vitellinus ENSMVIG00005015856
calidris_pygmaea ENSCPGG00000000702
calidris_pugnax ENSCPUG00000005582
melopsittacus_undulatus ENSMUNG00000008644
apteryx_rowi ENSARWG00000000620
apteryx_haastii ENSAHAG00000008986
apteryx_owenii ENSAOWG00000018828
dromaius_novaehollandiae ENSDNVG00000018022
nothoprocta_perdicaria ENSNPEG00000003493
crocodylus_porosus ENSCPRG00005004420
gopherus_agassizii ENSGAGG00000020489
chelonoidis_abingdonii ENSCABG00000002325
chrysemys_picta_bellii ENSCPBG00000006437
pelodiscus_sinensis ENSPSIG00000005188
xenopus_tropicalis ENSXETG00000030939
latimeria_chalumnae ENSLACG00000003228
pygocentrus_nattereri ENSPNAG00000027051
astyanax_mexicanus ENSAMXG00000042499
ictalurus_punctatus ENSIPUG00000002237
danio_rerio ENSDARG00000073705
esox_lucius ENSELUG00000021266
scleropages_formosus ENSSFOG00015000446
paramormyrops_kingsleyae ENSPKIG00000021329
lepisosteus_oculatus ENSLOCG00000008411
eptatretus_burgeri ENSEBUG00000010564
ciona_intestinalis ENSCING00000009954
drosophila_melanogaster FBgn0030704
caenorhabditis_elegans_strain_n2 WBGene00007731
