maylandia_zebra ENSMZEG00005017090
haplochromis_burtoni ENSHBUG00000013947
astatotilapia_calliptera ENSACLG00000012529
neolamprologus_brichardi ENSNBRG00000007028
oreochromis_niloticus ENSONIG00000002086
amphilophus_citrinellus ENSACIG00000015075
poecilia_latipinna ENSPLAG00000018592
poecilia_mexicana ENSPMEG00000017051
poecilia_formosa ENSPFOG00000023282
poecilia_reticulata ENSPREG00000007746
xiphophorus_maculatus ENSXMAG00000025042
xiphophorus_couchianus ENSXCOG00000020691
fundulus_heteroclitus ENSFHEG00000018180
cyprinodon_variegatus ENSCVAG00000010735
kryptolebias_marmoratus ENSKMAG00000004293
amphiprion_ocellaris ENSAOCG00000017162
amphiprion_percula ENSAPEG00000021023
acanthochromis_polyacanthus ENSAPOG00000005774
stegastes_partitus ENSSPAG00000017243
mastacembelus_armatus ENSMAMG00000017521
monopterus_albus ENSMALG00000016065
anabas_testudineus ENSATEG00000018515
mola_mola ENSMMOG00000010842
takifugu_rubripes ENSTRUG00000021577
labrus_bergylta ENSLBEG00000017852
seriola_lalandi_dorsalis ENSSLDG00000016163
seriola_dumerili ENSSDUG00000020236
scophthalmus_maximus ENSSMAG00000018564
