otolemur_garnettii ENSOGAG00000012787
jaculus_jaculus ENSJJAG00000024343
echinops_telfairi ENSETEG00000006643
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010574
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004992
fukomys_damarensis ENSFDAG00000017481
octodon_degus ENSODEG00000011054
chinchilla_lanigera ENSCLAG00000004757
cavia_porcellus ENSCPOG00000000202
cavia_aperea ENSCAPG00000011971
marmota_marmota_marmota ENSMMMG00000016271
spermophilus_dauricus ENSSDAG00000011434
ictidomys_tridecemlineatus ENSSTOG00000025473
urocitellus_parryii ENSUPAG00010020862
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022840
mus_spicilegus ENSMSIG00000011510
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024253
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021924
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020914
rattus_norvegicus ENSRNOG00000005151
meriones_unguiculatus ENSMUGG00000019719
microtus_ochrogaster ENSMOCG00000008462
peromyscus_maniculatus_bairdii ENSPEMG00000020786
cricetulus_griseus_crigri_1.0 ENSCGRG00000008225
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023127
cricetulus_griseus_crigri-picr ENSCGRG00015022452
mesocricetus_auratus ENSMAUG00000019240
nannospalax_galili ENSNGAG00000017247
dipodomys_ordii ENSDORG00000012227
oryctolagus_cuniculus ENSOCUG00000005293
ochotona_princeps ENSOPRG00000016742
tupaia_belangeri ENSTBEG00000013680
pan_paniscus ENSPPAG00000036384
pan_troglodytes ENSPTRG00000011877
homo_sapiens ENSG00000138036
gorilla_gorilla ENSGGOG00000023339
pongo_abelii ENSPPYG00000012454
nomascus_leucogenys ENSNLEG00000016748
theropithecus_gelada ENSTGEG00000001140
papio_anubis ENSPANG00000010875
macaca_fascicularis ENSMFAG00000043840
macaca_mulatta ENSMMUG00000008077
macaca_nemestrina ENSMNEG00000042290
mandrillus_leucophaeus ENSMLEG00000042475
cercocebus_atys ENSCATG00000037015
chlorocebus_sabaeus ENSCSAG00000012917
piliocolobus_tephrosceles ENSPTEG00000034538
colobus_angolensis_palliatus ENSCANG00000010366
rhinopithecus_roxellana ENSRROG00000035991
rhinopithecus_bieti ENSRBIG00000031972
saimiri_boliviensis_boliviensis ENSSBOG00000027181
cebus_capucinus_imitator ENSCCAG00000025429
callithrix_jacchus ENSCJAG00000000860
aotus_nancymaae ENSANAG00000026294
carlito_syrichta ENSTSYG00000013193
prolemur_simus ENSPSMG00000007408
propithecus_coquereli ENSPCOG00000015048
microcebus_murinus ENSMICG00000010444
mustela_putorius_furo ENSMPUG00000020110
mustela_putorius_furo ENSMPUG00000011728
neovison_vison ENSNVIG00000016292
ursus_americanus ENSUAMG00000022899
ursus_maritimus ENSUMAG00000012723
ailuropoda_melanoleuca ENSAMEG00000005751
canis_lupus_familiaris ENSCAFG00000002499
canis_lupus_dingo ENSCAFG00020025762
vulpes_vulpes ENSVVUG00000000552
panthera_pardus ENSPPRG00000008671
panthera_tigris_altaica ENSPTIG00000019159
felis_catus ENSFCAG00000024777
equus_asinus_asinus ENSEASG00005004994
equus_caballus ENSECAG00000020566
pteropus_vampyrus ENSPVAG00000002003
myotis_lucifugus ENSMLUG00000015660
ovis_aries ENSOARG00000006820
capra_hircus ENSCHIG00000006689
bos_mutus ENSBMUG00000012128
bos_taurus ENSBTAG00000013676
bison_bison_bison ENSBBBG00000014723
tursiops_truncatus ENSTTRG00000006392
sus_scrofa ENSSSCG00000038383
vicugna_pacos ENSVPAG00000008991
loxodonta_africana ENSLAFG00000008595
procavia_capensis ENSPCAG00000001246
choloepus_hoffmanni ENSCHOG00000003211
notamacropus_eugenii ENSMEUG00000002124
phascolarctos_cinereus ENSPCIG00000006835
sarcophilus_harrisii ENSSHAG00000018793
monodelphis_domestica ENSMODG00000000541
ornithorhynchus_anatinus ENSOANG00000005986
sorex_araneus ENSSARG00000008967
anolis_carolinensis ENSACAG00000015179
pogona_vitticeps ENSPVIG00000015869
notechis_scutatus ENSNSUG00000014561
salvator_merianae ENSSMRG00000018528
sphenodon_punctatus ENSSPUG00000004950
apteryx_rowi ENSARWG00000006982
