dipodomys_ordii ENSDORG00000003472
erinaceus_europaeus ENSEEUG00000006967
choloepus_hoffmanni ENSCHOG00000006614
chinchilla_lanigera ENSCLAG00000000748
octodon_degus ENSODEG00000007589
cavia_porcellus ENSCPOG00000014889
cavia_aperea ENSCAPG00000010500
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014482
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007223
fukomys_damarensis ENSFDAG00000020876
cebus_capucinus_imitator ENSCCAG00000026205
urocitellus_parryii ENSUPAG00010008306
meriones_unguiculatus ENSMUGG00000022274
oryctolagus_cuniculus ENSOCUG00000001748
ochotona_princeps ENSOPRG00000014620
ictidomys_tridecemlineatus ENSSTOG00000015769
spermophilus_dauricus ENSSDAG00000003644
marmota_marmota_marmota ENSMMMG00000021829
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012731
cricetulus_griseus_crigri-picr ENSCGRG00015002930
mesocricetus_auratus ENSMAUG00000012612
microtus_ochrogaster ENSMOCG00000015405
peromyscus_maniculatus_bairdii ENSPEMG00000014911
mus_spicilegus ENSMSIG00000013316
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030126
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030306
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029071
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022832
rattus_norvegicus ENSRNOG00000001854
nannospalax_galili ENSNGAG00000009504
jaculus_jaculus ENSJJAG00000023357
castor_canadensis ENSCCNG00000029233
otolemur_garnettii ENSOGAG00000011400
tupaia_belangeri ENSTBEG00000012785
dasypus_novemcinctus ENSDNOG00000033825
pan_troglodytes ENSPTRG00000004800
pan_paniscus ENSPPAG00000032529
homo_sapiens ENSG00000133687
gorilla_gorilla ENSGGOG00000009789
pongo_abelii ENSPPYG00000004392
nomascus_leucogenys ENSNLEG00000005668
piliocolobus_tephrosceles ENSPTEG00000028052
colobus_angolensis_palliatus ENSCANG00000022363
rhinopithecus_roxellana ENSRROG00000033217
rhinopithecus_bieti ENSRBIG00000036005
mandrillus_leucophaeus ENSMLEG00000031630
papio_anubis ENSPANG00000013680
theropithecus_gelada ENSTGEG00000028068
cercocebus_atys ENSCATG00000036194
macaca_fascicularis ENSMFAG00000033192
macaca_mulatta ENSMMUG00000015817
macaca_nemestrina ENSMNEG00000036129
chlorocebus_sabaeus ENSCSAG00000007466
saimiri_boliviensis_boliviensis ENSSBOG00000026298
cebus_capucinus_imitator ENSCCAG00000024937
callithrix_jacchus ENSCJAG00000042593
aotus_nancymaae ENSANAG00000029078
carlito_syrichta ENSTSYG00000000399
propithecus_coquereli ENSPCOG00000023799
microcebus_murinus ENSMICG00000013263
ursus_americanus ENSUAMG00000006546
ursus_maritimus ENSUMAG00000001756
ailuropoda_melanoleuca ENSAMEG00000005960
mustela_putorius_furo ENSMPUG00000010983
neovison_vison ENSNVIG00000014140
canis_lupus_familiaris ENSCAFG00000010821
canis_lupus_dingo ENSCAFG00020013614
vulpes_vulpes ENSVVUG00000007025
panthera_pardus ENSPPRG00000024999
panthera_tigris_altaica ENSPTIG00000014312
felis_catus ENSFCAG00000024827
equus_caballus ENSECAG00000008569
equus_asinus_asinus ENSEASG00005006627
capra_hircus ENSCHIG00000022481
ovis_aries ENSOARG00000019564
bos_taurus ENSBTAG00000005370
bos_mutus ENSBMUG00000009025
bison_bison_bison ENSBBBG00000024955
tursiops_truncatus ENSTTRG00000015242
vicugna_pacos ENSVPAG00000008637
sus_scrofa ENSSSCG00000027447
pteropus_vampyrus ENSPVAG00000017669
canis_lupus_familiaris ENSCAFG00000031277
prolemur_simus ENSPSMG00000012945
loxodonta_africana ENSLAFG00000003063
procavia_capensis ENSPCAG00000015562
echinops_telfairi ENSETEG00000007842
phascolarctos_cinereus ENSPCIG00000015221
notamacropus_eugenii ENSMEUG00000002894
monodelphis_domestica ENSMODG00000014377
ornithorhynchus_anatinus ENSOANG00000030413
sphenodon_punctatus ENSSPUG00000013336
sphenodon_punctatus ENSSPUG00000013332
anolis_carolinensis ENSACAG00000013056
pogona_vitticeps ENSPVIG00000011891
notechis_scutatus ENSNSUG00000015103
salvator_merianae ENSSMRG00000000038
anser_brachyrhynchus ENSABRG00000017163
anas_platyrhynchos_platyrhynchos ENSAPLG00000005055
gallus_gallus ENSGALG00000012956
meleagris_gallopavo ENSMGAG00000013358
coturnix_japonica ENSCJPG00005020216
numida_meleagris ENSNMEG00000001465
lepidothrix_coronata ENSLCOG00000010414
manacus_vitellinus ENSMVIG00005016191
lonchura_striata_domestica ENSLSDG00000008193
taeniopygia_guttata ENSTGUG00000011441
serinus_canaria ENSSCAG00000010112
parus_major ENSPMJG00000008945
cyanistes_caeruleus ENSCCEG00000011434
ficedula_albicollis ENSFALG00000009042
zonotrichia_albicollis ENSZALG00000015084
junco_hyemalis ENSJHYG00000002467
melopsittacus_undulatus ENSMUNG00000006754
calidris_pygmaea ENSCPGG00000009475
calidris_pugnax ENSCPUG00000019613
apteryx_owenii ENSAOWG00000013560
apteryx_owenii ENSAOWG00000013567
apteryx_haastii ENSAHAG00000008667
dromaius_novaehollandiae ENSDNVG00000004013
crocodylus_porosus ENSCPRG00005017546
chelonoidis_abingdonii ENSCABG00000021504
