amphilophus_citrinellus ENSACIG00000011379
xiphophorus_couchianus ENSXCOG00000012881
paramormyrops_kingsleyae ENSPKIG00000016944
monopterus_albus ENSMALG00000007682
oryzias_melastigma ENSOMEG00000009268
cynoglossus_semilaevis ENSCSEG00000021627
poecilia_latipinna ENSPLAG00000010564
poecilia_mexicana ENSPMEG00000003485
gambusia_affinis ENSGAFG00000012550
cyprinodon_variegatus ENSCVAG00000012197
oryzias_melastigma ENSOMEG00000021169
haplochromis_burtoni ENSHBUG00000015964
mastacembelus_armatus ENSMAMG00000014897
monopterus_albus ENSMALG00000007695
seriola_dumerili ENSSDUG00000015340
danio_rerio ENSDARG00000112739
astyanax_mexicanus ENSAMXG00000032818
scleropages_formosus ENSSFOG00015011763
sphenodon_punctatus ENSSPUG00000012395
