urocitellus_parryii ENSUPAG00010010045
marmota_marmota_marmota ENSMMMG00000009690
spermophilus_dauricus ENSSDAG00000001092
castor_canadensis ENSCCNG00000003685
cricetulus_griseus_crigri-picr ENSCGRG00015018848
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006553
mesocricetus_auratus ENSMAUG00000021945
peromyscus_maniculatus_bairdii ENSPEMG00000011791
microtus_ochrogaster ENSMOCG00000017055
mus_spicilegus ENSMSIG00000029452
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000050844
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015973
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015165
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023785
rattus_norvegicus ENSRNOG00000059251
meriones_unguiculatus ENSMUGG00000001286
