poecilia_formosa ENSPFOG00000012001
poecilia_latipinna ENSPLAG00000014075
poecilia_mexicana ENSPMEG00000020585
poecilia_reticulata ENSPREG00000015255
xiphophorus_maculatus ENSXMAG00000012422
gambusia_affinis ENSGAFG00000019555
cyprinodon_variegatus ENSCVAG00000014267
kryptolebias_marmoratus ENSKMAG00000014581
oryzias_latipes_asm223469v1 ENSORLG00015003457
oryzias_latipes_asm223467v1 ENSORLG00000029046
oryzias_latipes_asm223471v1 ENSORLG00020007625
oryzias_melastigma ENSOMEG00000002097
cynoglossus_semilaevis ENSCSEG00000020352
seriola_lalandi_dorsalis ENSSLDG00000022354
seriola_dumerili ENSSDUG00000018490
scophthalmus_maximus ENSSMAG00000006729
mastacembelus_armatus ENSMAMG00000009374
monopterus_albus ENSMALG00000020749
anabas_testudineus ENSATEG00000013312
anabas_testudineus ENSATEG00000009731
takifugu_rubripes ENSTRUG00000020842
tetraodon_nigroviridis ENSTNIG00000002994
mola_mola ENSMMOG00000013265
gasterosteus_aculeatus ENSGACG00000003310
labrus_bergylta ENSLBEG00000005885
haplochromis_burtoni ENSHBUG00000008467
pundamilia_nyererei ENSPNYG00000014832
maylandia_zebra ENSMZEG00005011932
astatotilapia_calliptera ENSACLG00000014564
oreochromis_niloticus ENSONIG00000000259
neolamprologus_brichardi ENSNBRG00000006580
amphilophus_citrinellus ENSACIG00000014549
amphiprion_percula ENSAPEG00000021761
amphiprion_ocellaris ENSAOCG00000006937
acanthochromis_polyacanthus ENSAPOG00000019538
stegastes_partitus ENSSPAG00000021953
fundulus_heteroclitus ENSFHEG00000006625
periophthalmus_magnuspinnatus ENSPMGG00000021256
hippocampus_comes ENSHCOG00000014827
gadus_morhua ENSGMOG00000018207
nothoprocta_perdicaria ENSNPEG00000001370
anolis_carolinensis ENSACAG00000000251
oryctolagus_cuniculus ENSOCUG00000023609
dipodomys_ordii ENSDORG00000005934
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028853
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039771
mus_spicilegus ENSMSIG00000011788
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027851
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024434
rattus_norvegicus ENSRNOG00000001430
meriones_unguiculatus ENSMUGG00000016648
cricetulus_griseus_crigri-picr ENSCGRG00015008219
cricetulus_griseus_crigri_1.0 ENSCGRG00000008433
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012814
mesocricetus_auratus ENSMAUG00000013049
microtus_ochrogaster ENSMOCG00000001294
peromyscus_maniculatus_bairdii ENSPEMG00000015733
nannospalax_galili ENSNGAG00000023412
jaculus_jaculus ENSJJAG00000013854
jaculus_jaculus ENSJJAG00000018834
octodon_degus ENSODEG00000015648
octodon_degus ENSODEG00000008559
chinchilla_lanigera ENSCLAG00000005238
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013598
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011242
fukomys_damarensis ENSFDAG00000010507
cavia_porcellus ENSCPOG00000001401
macaca_nemestrina ENSMNEG00000035842
cercocebus_atys ENSCATG00000016595
macaca_mulatta ENSMMUG00000012019
theropithecus_gelada ENSTGEG00000006156
chlorocebus_sabaeus ENSCSAG00000018092
piliocolobus_tephrosceles ENSPTEG00000020328
homo_sapiens ENSG00000168255
homo_sapiens ENSG00000285437
homo_sapiens ENSG00000267645
homo_sapiens ENSG00000228049
homo_sapiens ENSG00000005075
gorilla_gorilla ENSGGOG00000004519
saimiri_boliviensis_boliviensis ENSSBOG00000025579
callithrix_jacchus ENSCJAG00000016203
bison_bison_bison ENSBBBG00000011251
bos_mutus ENSBMUG00000007441
ovis_aries ENSOARG00000014204
sus_scrofa ENSSSCG00000007688
sus_scrofa ENSSSCG00000003703
ursus_americanus ENSUAMG00000011310
ursus_maritimus ENSUMAG00000012594
ailuropoda_melanoleuca ENSAMEG00000015480
neovison_vison ENSNVIG00000003060
canis_lupus_familiaris ENSCAFG00000013683
panthera_pardus ENSPPRG00000012439
panthera_tigris_altaica ENSPTIG00000018714
felis_catus ENSFCAG00000000377
myotis_lucifugus ENSMLUG00000010467
pteropus_vampyrus ENSPVAG00000017770
prolemur_simus ENSPSMG00000011048
propithecus_coquereli ENSPCOG00000024573
