marmota_marmota_marmota ENSMMMG00000019516
rattus_norvegicus ENSRNOG00000059750
macaca_mulatta ENSMMUG00000021387
saimiri_boliviensis_boliviensis ENSSBOG00000013160
prolemur_simus ENSPSMG00000003448
vicugna_pacos ENSVPAG00000005423
choloepus_hoffmanni ENSCHOG00000010235
procavia_capensis ENSPCAG00000007388
castor_canadensis ENSCCNG00000011797
dipodomys_ordii ENSDORG00000011695
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026301
mus_spicilegus ENSMSIG00000022202
mus_spicilegus ENSMSIG00000007460
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000038543
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025357
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026801
meriones_unguiculatus ENSMUGG00000012303
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011710
cricetulus_griseus_crigri_1.0 ENSCGRG00000007999
cricetulus_griseus_crigri-picr ENSCGRG00015023684
mesocricetus_auratus ENSMAUG00000009366
peromyscus_maniculatus_bairdii ENSPEMG00000009975
microtus_ochrogaster ENSMOCG00000003466
nannospalax_galili ENSNGAG00000011340
spermophilus_dauricus ENSSDAG00000022207
urocitellus_parryii ENSUPAG00010001839
ictidomys_tridecemlineatus ENSSTOG00000006055
cavia_porcellus ENSCPOG00000026169
octodon_degus ENSODEG00000013067
chinchilla_lanigera ENSCLAG00000012077
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008513
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016156
fukomys_damarensis ENSFDAG00000018968
oryctolagus_cuniculus ENSOCUG00000027251
ochotona_princeps ENSOPRG00000010110
pan_troglodytes ENSPTRG00000001251
pan_paniscus ENSPPAG00000041323
gorilla_gorilla ENSGGOG00000016964
homo_sapiens ENSG00000118292
pongo_abelii ENSPPYG00000000904
nomascus_leucogenys ENSNLEG00000009825
macaca_nemestrina ENSMNEG00000038419
macaca_fascicularis ENSMFAG00000002775
theropithecus_gelada ENSTGEG00000013152
papio_anubis ENSPANG00000033401
mandrillus_leucophaeus ENSMLEG00000007055
cercocebus_atys ENSCATG00000033751
chlorocebus_sabaeus ENSCSAG00000018096
rhinopithecus_bieti ENSRBIG00000027635
rhinopithecus_roxellana ENSRROG00000032162
colobus_angolensis_palliatus ENSCANG00000033694
callithrix_jacchus ENSCJAG00000009890
cebus_capucinus_imitator ENSCCAG00000032327
aotus_nancymaae ENSANAG00000023731
carlito_syrichta ENSTSYG00000008908
propithecus_coquereli ENSPCOG00000006128
microcebus_murinus ENSMICG00000015318
sorex_araneus ENSSARG00000011048
erinaceus_europaeus ENSEEUG00000013441
bos_taurus ENSBTAG00000021485
bos_mutus ENSBMUG00000023423
bison_bison_bison ENSBBBG00000008854
ovis_aries ENSOARG00000020783
myotis_lucifugus ENSMLUG00000013704
pteropus_vampyrus ENSPVAG00000013468
ursus_maritimus ENSUMAG00000003742
ursus_americanus ENSUAMG00000009336
ailuropoda_melanoleuca ENSAMEG00000001725
canis_lupus_dingo ENSCAFG00020019667
mustela_putorius_furo ENSMPUG00000005317
neovison_vison ENSNVIG00000016999
panthera_tigris_altaica ENSPTIG00000021455
panthera_pardus ENSPPRG00000001580
felis_catus ENSFCAG00000013939
loxodonta_africana ENSLAFG00000022852
dasypus_novemcinctus ENSDNOG00000030893
monodelphis_domestica ENSMODG00000018780
sarcophilus_harrisii ENSSHAG00000009140
