oreochromis_niloticus ENSONIG00000001348
neolamprologus_brichardi ENSNBRG00000015822
kryptolebias_marmoratus ENSKMAG00000018987
seriola_dumerili ENSSDUG00000018504
poecilia_reticulata ENSPREG00000008457
xiphophorus_couchianus ENSXCOG00000016590
oryzias_latipes_asm223469v1 ENSORLG00015019189
cynoglossus_semilaevis ENSCSEG00000021221
oryzias_latipes_asm223471v1 ENSORLG00020005956
oryzias_latipes_asm223467v1 ENSORLG00000004744
monopterus_albus ENSMALG00000021158
anabas_testudineus ENSATEG00000003792
takifugu_rubripes ENSTRUG00000019635
gadus_morhua ENSGMOG00000003173
esox_lucius ENSELUG00000020405
pygocentrus_nattereri ENSPNAG00000001537
astyanax_mexicanus ENSAMXG00000030924
ictalurus_punctatus ENSIPUG00000018842
paramormyrops_kingsleyae ENSPKIG00000012350
chrysemys_picta_bellii ENSCPBG00000020600
ciona_intestinalis ENSCING00000018015
drosophila_melanogaster FBgn0024184
caenorhabditis_elegans_strain_n2 WBGene00006744
