heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009049
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012240
fukomys_damarensis ENSFDAG00000010230
octodon_degus ENSODEG00000010137
chinchilla_lanigera ENSCLAG00000014464
cavia_porcellus ENSCPOG00000040451
marmota_marmota_marmota ENSMMMG00000001712
urocitellus_parryii ENSUPAG00010003716
ictidomys_tridecemlineatus ENSSTOG00000032495
spermophilus_dauricus ENSSDAG00000004316
peromyscus_maniculatus_bairdii ENSPEMG00000010680
microtus_ochrogaster ENSMOCG00000020071
cricetulus_griseus_crigri-picr ENSCGRG00015012355
meriones_unguiculatus ENSMUGG00000022615
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000097929
nannospalax_galili ENSNGAG00000011779
jaculus_jaculus ENSJJAG00000021106
castor_canadensis ENSCCNG00000013764
microcebus_murinus ENSMICG00000047611
propithecus_coquereli ENSPCOG00000000244
saimiri_boliviensis_boliviensis ENSSBOG00000011792
cebus_capucinus_imitator ENSCCAG00000006852
callithrix_jacchus ENSCJAG00000048493
pan_troglodytes ENSPTRG00000042975
nomascus_leucogenys ENSNLEG00000029779
rhinopithecus_roxellana ENSRROG00000025997
