cyanistes_caeruleus ENSCCEG00000018740
parus_major ENSPMJG00000006092
ficedula_albicollis ENSFALG00000000615
lonchura_striata_domestica ENSLSDG00000004759
taeniopygia_guttata ENSTGUG00000001395
serinus_canaria ENSSCAG00000004956
lepidothrix_coronata ENSLCOG00000009010
anser_brachyrhynchus ENSABRG00000020348
anas_platyrhynchos_platyrhynchos ENSAPLG00000013429
meleagris_gallopavo ENSMGAG00000004802
coturnix_japonica ENSCJPG00005000616
gallus_gallus ENSGALG00000003337
numida_meleagris ENSNMEG00000007373
calidris_pugnax ENSCPUG00000018251
calidris_pygmaea ENSCPGG00000014582
melopsittacus_undulatus ENSMUNG00000008704
apteryx_owenii ENSAOWG00000002164
apteryx_haastii ENSAHAG00000007974
apteryx_rowi ENSARWG00000009595
dromaius_novaehollandiae ENSDNVG00000010107
nothoprocta_perdicaria ENSNPEG00000005427
anolis_carolinensis ENSACAG00000004506
pogona_vitticeps ENSPVIG00000013782
salvator_merianae ENSSMRG00000012035
sphenodon_punctatus ENSSPUG00000017981
chelonoidis_abingdonii ENSCABG00000018838
gopherus_agassizii ENSGAGG00000023748
chrysemys_picta_bellii ENSCPBG00000011067
crocodylus_porosus ENSCPRG00005002195
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027506
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028798
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026526
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028858
meriones_unguiculatus ENSMUGG00000003444
cricetulus_griseus_crigri-picr ENSCGRG00015009559
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020604
cricetulus_griseus_crigri_1.0 ENSCGRG00000007587
mesocricetus_auratus ENSMAUG00000018058
microtus_ochrogaster ENSMOCG00000016176
peromyscus_maniculatus_bairdii ENSPEMG00000009018
nannospalax_galili ENSNGAG00000007458
jaculus_jaculus ENSJJAG00000024046
oryctolagus_cuniculus ENSOCUG00000007619
ochotona_princeps ENSOPRG00000000825
cavia_porcellus ENSCPOG00000011992
octodon_degus ENSODEG00000003652
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003864
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012436
fukomys_damarensis ENSFDAG00000014141
chinchilla_lanigera ENSCLAG00000009856
urocitellus_parryii ENSUPAG00010005235
spermophilus_dauricus ENSSDAG00000012302
ictidomys_tridecemlineatus ENSSTOG00000028900
marmota_marmota_marmota ENSMMMG00000008963
dipodomys_ordii ENSDORG00000000200
saimiri_boliviensis_boliviensis ENSSBOG00000034520
callithrix_jacchus ENSCJAG00000006810
aotus_nancymaae ENSANAG00000022982
pan_troglodytes ENSPTRG00000000476
pan_paniscus ENSPPAG00000030615
homo_sapiens ENSG00000084623
gorilla_gorilla ENSGGOG00000001579
pongo_abelii ENSPPYG00000001598
nomascus_leucogenys ENSNLEG00000002426
rhinopithecus_roxellana ENSRROG00000017532
rhinopithecus_bieti ENSRBIG00000036762
colobus_angolensis_palliatus ENSCANG00000038579
piliocolobus_tephrosceles ENSPTEG00000023917
macaca_fascicularis ENSMFAG00000043566
macaca_nemestrina ENSMNEG00000037892
papio_anubis ENSPANG00000010063
theropithecus_gelada ENSTGEG00000015592
mandrillus_leucophaeus ENSMLEG00000030211
chlorocebus_sabaeus ENSCSAG00000001050
carlito_syrichta ENSTSYG00000031112
prolemur_simus ENSPSMG00000020159
propithecus_coquereli ENSPCOG00000007990
microcebus_murinus ENSMICG00000017800
otolemur_garnettii ENSOGAG00000026937
tursiops_truncatus ENSTTRG00000009753
sus_scrofa ENSSSCG00000003612
capra_hircus ENSCHIG00000021616
ovis_aries ENSOARG00000000261
bos_taurus ENSBTAG00000014388
bos_mutus ENSBMUG00000008795
bison_bison_bison ENSBBBG00000012475
ursus_maritimus ENSUMAG00000008413
ursus_americanus ENSUAMG00000014278
ailuropoda_melanoleuca ENSAMEG00000007779
canis_lupus_dingo ENSCAFG00020025351
canis_lupus_familiaris ENSCAFG00000010674
vulpes_vulpes ENSVVUG00000015103
neovison_vison ENSNVIG00000024267
mustela_putorius_furo ENSMPUG00000015286
panthera_pardus ENSPPRG00000011012
panthera_tigris_altaica ENSPTIG00000018649
felis_catus ENSFCAG00000022017
equus_asinus_asinus ENSEASG00005010956
equus_caballus ENSECAG00000013877
myotis_lucifugus ENSMLUG00000017490
procavia_capensis ENSPCAG00000004805
loxodonta_africana ENSLAFG00000017026
phascolarctos_cinereus ENSPCIG00000009039
notamacropus_eugenii ENSMEUG00000005248
sarcophilus_harrisii ENSSHAG00000008273
monodelphis_domestica ENSMODG00000017481
xenopus_tropicalis ENSXETG00000005247
monopterus_albus ENSMALG00000001664
mastacembelus_armatus ENSMAMG00000004447
anabas_testudineus ENSATEG00000007452
labrus_bergylta ENSLBEG00000010017
seriola_dumerili ENSSDUG00000001643
seriola_lalandi_dorsalis ENSSLDG00000005063
haplochromis_burtoni ENSHBUG00000010996
astatotilapia_calliptera ENSACLG00000013569
pundamilia_nyererei ENSPNYG00000004469
maylandia_zebra ENSMZEG00005000654
neolamprologus_brichardi ENSNBRG00000022262
oreochromis_niloticus ENSONIG00000007716
amphilophus_citrinellus ENSACIG00000000369
kryptolebias_marmoratus ENSKMAG00000001411
amphiprion_percula ENSAPEG00000003273
acanthochromis_polyacanthus ENSAPOG00000002673
stegastes_partitus ENSSPAG00000000719
takifugu_rubripes ENSTRUG00000010528
tetraodon_nigroviridis ENSTNIG00000009272
cynoglossus_semilaevis ENSCSEG00000009170
scophthalmus_maximus ENSSMAG00000020610
gasterosteus_aculeatus ENSGACG00000009137
poecilia_formosa ENSPFOG00000005910
poecilia_mexicana ENSPMEG00000009241
poecilia_latipinna ENSPLAG00000004703
xiphophorus_couchianus ENSXCOG00000003178
fundulus_heteroclitus ENSFHEG00000017162
cyprinodon_variegatus ENSCVAG00000018013
oryzias_latipes_asm223471v1 ENSORLG00020020326
oryzias_latipes_asm223467v1 ENSORLG00000014139
oryzias_latipes_asm223469v1 ENSORLG00015008437
oryzias_melastigma ENSOMEG00000006715
hippocampus_comes ENSHCOG00000003328
periophthalmus_magnuspinnatus ENSPMGG00000021400
gadus_morhua ENSGMOG00000003299
esox_lucius ENSELUG00000018522
pygocentrus_nattereri ENSPNAG00000029780
astyanax_mexicanus ENSAMXG00000011863
ictalurus_punctatus ENSIPUG00000014386
danio_rerio ENSDARG00000017445
scleropages_formosus ENSSFOG00015023588
paramormyrops_kingsleyae ENSPKIG00000011742
piliocolobus_tephrosceles ENSPTEG00000009206
piliocolobus_tephrosceles ENSPTEG00000015570
ciona_intestinalis ENSCING00000003743
drosophila_melanogaster FBgn0015834
