nothoprocta_perdicaria ENSNPEG00000006527
dromaius_novaehollandiae ENSDNVG00000017975
apteryx_owenii ENSAOWG00000005335
apteryx_haastii ENSAHAG00000000110
apteryx_rowi ENSARWG00000006710
crocodylus_porosus ENSCPRG00005012191
gopherus_agassizii ENSGAGG00000022959
chelonoidis_abingdonii ENSCABG00000012777
chrysemys_picta_bellii ENSCPBG00000006857
ornithorhynchus_anatinus ENSOANG00000007575
xenopus_tropicalis ENSXETG00000006541
latimeria_chalumnae ENSLACG00000007938
latimeria_chalumnae ENSLACG00000000066
hippocampus_comes ENSHCOG00000002731
cynoglossus_semilaevis ENSCSEG00000005109
tetraodon_nigroviridis ENSTNIG00000017814
takifugu_rubripes ENSTRUG00000023877
gasterosteus_aculeatus ENSGACG00000016093
kryptolebias_marmoratus ENSKMAG00000000048
fundulus_heteroclitus ENSFHEG00000009760
cyprinodon_variegatus ENSCVAG00000000874
xiphophorus_maculatus ENSXMAG00000012518
xiphophorus_couchianus ENSXCOG00000013708
gambusia_affinis ENSGAFG00000004792
poecilia_formosa ENSPFOG00000019622
poecilia_mexicana ENSPMEG00000014968
poecilia_latipinna ENSPLAG00000022738
poecilia_reticulata ENSPREG00000006318
oryzias_latipes_asm223467v1 ENSORLG00000005172
oryzias_latipes_asm223469v1 ENSORLG00015004584
oryzias_latipes_asm223471v1 ENSORLG00020007169
oryzias_melastigma ENSOMEG00000013201
amphiprion_ocellaris ENSAOCG00000005699
amphiprion_percula ENSAPEG00000020535
acanthochromis_polyacanthus ENSAPOG00000008811
stegastes_partitus ENSSPAG00000021189
maylandia_zebra ENSMZEG00005021543
astatotilapia_calliptera ENSACLG00000013699
haplochromis_burtoni ENSHBUG00000002587
pundamilia_nyererei ENSPNYG00000000950
neolamprologus_brichardi ENSNBRG00000016762
oreochromis_niloticus ENSONIG00000008927
amphilophus_citrinellus ENSACIG00000010016
periophthalmus_magnuspinnatus ENSPMGG00000024167
monopterus_albus ENSMALG00000002730
mastacembelus_armatus ENSMAMG00000001161
anabas_testudineus ENSATEG00000020561
seriola_dumerili ENSSDUG00000022290
seriola_lalandi_dorsalis ENSSLDG00000024932
scophthalmus_maximus ENSSMAG00000011633
labrus_bergylta ENSLBEG00000003162
mola_mola ENSMMOG00000007387
gadus_morhua ENSGMOG00000003410
esox_lucius ENSELUG00000008069
pygocentrus_nattereri ENSPNAG00000009613
astyanax_mexicanus ENSAMXG00000004148
ictalurus_punctatus ENSIPUG00000002516
danio_rerio ENSDARG00000019986
scleropages_formosus ENSSFOG00015009146
paramormyrops_kingsleyae ENSPKIG00000013162
lepisosteus_oculatus ENSLOCG00000012844
