numida_meleagris ENSNMEG00000001197
esox_lucius ENSELUG00000013377
seriola_dumerili ENSSDUG00000023706
scophthalmus_maximus ENSSMAG00000006583
amphiprion_ocellaris ENSAOCG00000016734
serinus_canaria ENSSCAG00000007827
esox_lucius ENSELUG00000012176
oryzias_latipes_asm223467v1 ENSORLG00000027622
oryzias_latipes_asm223471v1 ENSORLG00020006755
poecilia_reticulata ENSPREG00000008570
xiphophorus_maculatus ENSXMAG00000022715
amphiprion_percula ENSAPEG00000012506
melopsittacus_undulatus ENSMUNG00000001427
manacus_vitellinus ENSMVIG00005011448
lepidothrix_coronata ENSLCOG00000015522
oryzias_latipes_asm223469v1 ENSORLG00015009780
oryzias_latipes_asm223471v1 ENSORLG00020016789
nothoprocta_perdicaria ENSNPEG00000008177
eptatretus_burgeri ENSEBUG00000005909
amphiprion_percula ENSAPEG00000009042
amphiprion_ocellaris ENSAOCG00000014845
peromyscus_maniculatus_bairdii ENSPEMG00000029688
eptatretus_burgeri ENSEBUG00000009348
