urocitellus_parryii ENSUPAG00010014500
ochotona_princeps ENSOPRG00000002880
homo_sapiens ENSG00000188107
pan_troglodytes ENSPTRG00000051263
gorilla_gorilla ENSGGOG00000034946
pongo_abelii ENSPPYG00000016753
nomascus_leucogenys ENSNLEG00000028360
colobus_angolensis_palliatus ENSCANG00000033389
piliocolobus_tephrosceles ENSPTEG00000038070
rhinopithecus_bieti ENSRBIG00000038935
macaca_nemestrina ENSMNEG00000030719
macaca_mulatta ENSMMUG00000041338
macaca_fascicularis ENSMFAG00000032080
theropithecus_gelada ENSTGEG00000008867
papio_anubis ENSPANG00000007116
cercocebus_atys ENSCATG00000036409
mandrillus_leucophaeus ENSMLEG00000031742
saimiri_boliviensis_boliviensis ENSSBOG00000031359
cebus_capucinus_imitator ENSCCAG00000026101
callithrix_jacchus ENSCJAG00000031425
aotus_nancymaae ENSANAG00000003493
cebus_capucinus_imitator ENSCCAG00000024127
pongo_abelii ENSPPYG00000016748
otolemur_garnettii ENSOGAG00000014129
tupaia_belangeri ENSTBEG00000006536
tursiops_truncatus ENSTTRG00000009811
vicugna_pacos ENSVPAG00000005935
pteropus_vampyrus ENSPVAG00000011345
ailuropoda_melanoleuca ENSAMEG00000002028
vicugna_pacos ENSVPAG00000009943
tursiops_truncatus ENSTTRG00000014020
pongo_abelii ENSPPYG00000016749
pongo_abelii ENSPPYG00000017267
echinops_telfairi ENSETEG00000013781
choloepus_hoffmanni ENSCHOG00000012077
notamacropus_eugenii ENSMEUG00000007940
ornithorhynchus_anatinus ENSOANG00000030383
