astyanax_mexicanus ENSAMXG00000032268
pygocentrus_nattereri ENSPNAG00000009249
ictalurus_punctatus ENSIPUG00000002767
phascolarctos_cinereus ENSPCIG00000005982
phascolarctos_cinereus ENSPCIG00000014967
sarcophilus_harrisii ENSSHAG00000007560
monodelphis_domestica ENSMODG00000017978
gorilla_gorilla ENSGGOG00000003383
homo_sapiens ENSG00000135535
pan_troglodytes ENSPTRG00000018482
pan_paniscus ENSPPAG00000036863
pongo_abelii ENSPPYG00000016906
nomascus_leucogenys ENSNLEG00000012527
macaca_fascicularis ENSMFAG00000033671
macaca_nemestrina ENSMNEG00000036168
macaca_mulatta ENSMMUG00000007011
theropithecus_gelada ENSTGEG00000001399
cercocebus_atys ENSCATG00000038139
papio_anubis ENSPANG00000030351
mandrillus_leucophaeus ENSMLEG00000043297
chlorocebus_sabaeus ENSCSAG00000015315
rhinopithecus_bieti ENSRBIG00000017887
colobus_angolensis_palliatus ENSCANG00000038301
rhinopithecus_roxellana ENSRROG00000036954
piliocolobus_tephrosceles ENSPTEG00000000901
cebus_capucinus_imitator ENSCCAG00000018828
saimiri_boliviensis_boliviensis ENSSBOG00000018127
callithrix_jacchus ENSCJAG00000041178
aotus_nancymaae ENSANAG00000012591
carlito_syrichta ENSTSYG00000003844
prolemur_simus ENSPSMG00000024435
propithecus_coquereli ENSPCOG00000028678
microcebus_murinus ENSMICG00000014422
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019263
cavia_porcellus ENSCPOG00000034850
chinchilla_lanigera ENSCLAG00000009279
urocitellus_parryii ENSUPAG00010011356
oryctolagus_cuniculus ENSOCUG00000029127
mus_spicilegus ENSMSIG00000030453
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000019818
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016079
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015270
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030688
rattus_norvegicus ENSRNOG00000000304
meriones_unguiculatus ENSMUGG00000006875
cricetulus_griseus_crigri_1.0 ENSCGRG00000013194
cricetulus_griseus_crigri-picr ENSCGRG00015000362
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020972
mesocricetus_auratus ENSMAUG00000021208
microtus_ochrogaster ENSMOCG00000013486
peromyscus_maniculatus_bairdii ENSPEMG00000025622
nannospalax_galili ENSNGAG00000023017
jaculus_jaculus ENSJJAG00000016224
dipodomys_ordii ENSDORG00000006481
castor_canadensis ENSCCNG00000020324
ochotona_princeps ENSOPRG00000014063
sus_scrofa ENSSSCG00000004414
sus_scrofa ENSSSCG00000040834
capra_hircus ENSCHIG00000021803
