dromaius_novaehollandiae ENSDNVG00000011629
nothoprocta_perdicaria ENSNPEG00000008431
apteryx_owenii ENSAOWG00000018557
apteryx_haastii ENSAHAG00000001065
apteryx_rowi ENSARWG00000013882
manacus_vitellinus ENSMVIG00005014457
melopsittacus_undulatus ENSMUNG00000000396
parus_major ENSPMJG00000007195
cyanistes_caeruleus ENSCCEG00000008806
junco_hyemalis ENSJHYG00000008419
serinus_canaria ENSSCAG00000000071
ficedula_albicollis ENSFALG00000009179
taeniopygia_guttata ENSTGUG00000003560
taeniopygia_guttata ENSTGUG00000016081
lonchura_striata_domestica ENSLSDG00000004895
zonotrichia_albicollis ENSZALG00000000188
gallus_gallus ENSGALG00000025811
meleagris_gallopavo ENSMGAG00000011127
coturnix_japonica ENSCJPG00005012817
numida_meleagris ENSNMEG00000009979
anser_brachyrhynchus ENSABRG00000004336
anas_platyrhynchos_platyrhynchos ENSAPLG00000012645
calidris_pygmaea ENSCPGG00000000780
calidris_pugnax ENSCPUG00000010653
crocodylus_porosus ENSCPRG00005004328
gopherus_agassizii ENSGAGG00000006278
pelodiscus_sinensis ENSPSIG00000005347
anolis_carolinensis ENSACAG00000014240
notechis_scutatus ENSNSUG00000003114
salvator_merianae ENSSMRG00000010891
sphenodon_punctatus ENSSPUG00000017110
