crocodylus_porosus ENSCPRG00005014860
lonchura_striata_domestica ENSLSDG00000016505
chelonoidis_abingdonii ENSCABG00000001519
chrysemys_picta_bellii ENSCPBG00000015494
gopherus_agassizii ENSGAGG00000015286
pelodiscus_sinensis ENSPSIG00000009124
apteryx_owenii ENSAOWG00000017238
apteryx_haastii ENSAHAG00000017975
apteryx_rowi ENSARWG00000013250
dromaius_novaehollandiae ENSDNVG00000003669
nothoprocta_perdicaria ENSNPEG00000009369
gallus_gallus ENSGALG00000008218
coturnix_japonica ENSCJPG00005012054
meleagris_gallopavo ENSMGAG00000010763
numida_meleagris ENSNMEG00000016938
anser_brachyrhynchus ENSABRG00000011250
anas_platyrhynchos_platyrhynchos ENSAPLG00000007909
calidris_pygmaea ENSCPGG00000001236
calidris_pugnax ENSCPUG00000013489
melopsittacus_undulatus ENSMUNG00000015022
manacus_vitellinus ENSMVIG00005008966
lepidothrix_coronata ENSLCOG00000012886
serinus_canaria ENSSCAG00000003292
taeniopygia_guttata ENSTGUG00000010493
junco_hyemalis ENSJHYG00000010428
zonotrichia_albicollis ENSZALG00000008463
parus_major ENSPMJG00000012286
cyanistes_caeruleus ENSCCEG00000002594
anolis_carolinensis ENSACAG00000003132
pogona_vitticeps ENSPVIG00000014340
salvator_merianae ENSSMRG00000006012
sphenodon_punctatus ENSSPUG00000003915
notechis_scutatus ENSNSUG00000017724
notamacropus_eugenii ENSMEUG00000009131
phascolarctos_cinereus ENSPCIG00000007289
sarcophilus_harrisii ENSSHAG00000017108
monodelphis_domestica ENSMODG00000019904
monodelphis_domestica ENSMODG00000025185
pteropus_vampyrus ENSPVAG00000007310
myotis_lucifugus ENSMLUG00000017642
equus_caballus ENSECAG00000008711
equus_asinus_asinus ENSEASG00005001051
vicugna_pacos ENSVPAG00000011835
sus_scrofa ENSSSCG00000013243
ovis_aries ENSOARG00000005460
capra_hircus ENSCHIG00000021645
bos_taurus ENSBTAG00000020999
bos_mutus ENSBMUG00000023687
bison_bison_bison ENSBBBG00000007213
tursiops_truncatus ENSTTRG00000014146
neovison_vison ENSNVIG00000011648
mustela_putorius_furo ENSMPUG00000004880
ursus_americanus ENSUAMG00000003455
ursus_maritimus ENSUMAG00000014299
ailuropoda_melanoleuca ENSAMEG00000007255
canis_lupus_familiaris ENSCAFG00000008852
canis_lupus_dingo ENSCAFG00020022201
vulpes_vulpes ENSVVUG00000026319
panthera_pardus ENSPPRG00000005739
panthera_tigris_altaica ENSPTIG00000017739
