meleagris_gallopavo ENSMGAG00000006411
gallus_gallus ENSGALG00000035049
coturnix_japonica ENSCJPG00005008313
numida_meleagris ENSNMEG00000021434
anser_brachyrhynchus ENSABRG00000022204
anas_platyrhynchos_platyrhynchos ENSAPLG00000005875
cyanistes_caeruleus ENSCCEG00000015650
parus_major ENSPMJG00000013371
taeniopygia_guttata ENSTGUG00000007435
lonchura_striata_domestica ENSLSDG00000012395
junco_hyemalis ENSJHYG00000005421
zonotrichia_albicollis ENSZALG00000011228
serinus_canaria ENSSCAG00000005957
ficedula_albicollis ENSFALG00000008705
manacus_vitellinus ENSMVIG00005015232
lepidothrix_coronata ENSLCOG00000012440
melopsittacus_undulatus ENSMUNG00000005028
calidris_pugnax ENSCPUG00000019084
calidris_pygmaea ENSCPGG00000009300
apteryx_owenii ENSAOWG00000001548
apteryx_rowi ENSARWG00000006412
apteryx_haastii ENSAHAG00000012777
dromaius_novaehollandiae ENSDNVG00000006071
