saimiri_boliviensis_boliviensis ENSSBOG00000023205
cebus_capucinus_imitator ENSCCAG00000021593
aotus_nancymaae ENSANAG00000021518
aotus_nancymaae ENSANAG00000022564
pan_troglodytes ENSPTRG00000032493
pan_paniscus ENSPPAG00000041875
homo_sapiens ENSG00000268988
macaca_mulatta ENSMMUG00000040936
macaca_fascicularis ENSMFAG00000043556
cercocebus_atys ENSCATG00000034272
papio_anubis ENSPANG00000000098
theropithecus_gelada ENSTGEG00000005555
chlorocebus_sabaeus ENSCSAG00000007303
chlorocebus_sabaeus ENSCSAG00000007297
rhinopithecus_roxellana ENSRROG00000036804
piliocolobus_tephrosceles ENSPTEG00000018181
colobus_angolensis_palliatus ENSCANG00000030875
theropithecus_gelada ENSTGEG00000005518
chlorocebus_sabaeus ENSCSAG00000018584
mandrillus_leucophaeus ENSMLEG00000028995
cercocebus_atys ENSCATG00000028743
macaca_fascicularis ENSMFAG00000035745
macaca_nemestrina ENSMNEG00000042901
macaca_mulatta ENSMMUG00000001114
piliocolobus_tephrosceles ENSPTEG00000018246
colobus_angolensis_palliatus ENSCANG00000012418
pan_paniscus ENSPPAG00000038428
pan_troglodytes ENSPTRG00000049779
gorilla_gorilla ENSGGOG00000008690
homo_sapiens ENSG00000189252
theropithecus_gelada ENSTGEG00000005633
chlorocebus_sabaeus ENSCSAG00000007290
rhinopithecus_bieti ENSRBIG00000029352
