panthera_tigris_altaica ENSPTIG00000006415
panthera_pardus ENSPPRG00000016675
felis_catus ENSFCAG00000044060
ursus_maritimus ENSUMAG00000022604
ursus_americanus ENSUAMG00000021041
sus_scrofa ENSSSCG00000035694
sus_scrofa ENSSSCG00000030728
vicugna_pacos ENSVPAG00000009970
sus_scrofa ENSSSCG00000037297
aotus_nancymaae ENSANAG00000032459
aotus_nancymaae ENSANAG00000033598
mesocricetus_auratus ENSMAUG00000010952
sphenodon_punctatus ENSSPUG00000013103
seriola_lalandi_dorsalis ENSSLDG00000009401
cynoglossus_semilaevis ENSCSEG00000007995
pundamilia_nyererei ENSPNYG00000009831
