lonchura_striata_domestica ENSLSDG00000006858
taeniopygia_guttata ENSTGUG00000010827
ficedula_albicollis ENSFALG00000005819
manacus_vitellinus ENSMVIG00005002949
melopsittacus_undulatus ENSMUNG00000008064
meleagris_gallopavo ENSMGAG00000010705
apteryx_rowi ENSARWG00000008881
apteryx_owenii ENSAOWG00000005286
pogona_vitticeps ENSPVIG00000014096
propithecus_coquereli ENSPCOG00000025760
otolemur_garnettii ENSOGAG00000024828
mandrillus_leucophaeus ENSMLEG00000037290
papio_anubis ENSPANG00000020469
macaca_mulatta ENSMMUG00000045846
rhinopithecus_roxellana ENSRROG00000016307
rhinopithecus_bieti ENSRBIG00000021838
callithrix_jacchus ENSCJAG00000046725
cebus_capucinus_imitator ENSCCAG00000031345
aotus_nancymaae ENSANAG00000018706
ailuropoda_melanoleuca ENSAMEG00000000241
ursus_americanus ENSUAMG00000004724
neovison_vison ENSNVIG00000017455
mustela_putorius_furo ENSMPUG00000000704
panthera_tigris_altaica ENSPTIG00000007957
panthera_pardus ENSPPRG00000013556
dasypus_novemcinctus ENSDNOG00000049765
dasypus_novemcinctus ENSDNOG00000044045
phascolarctos_cinereus ENSPCIG00000006573
sarcophilus_harrisii ENSSHAG00000007134
