phascolarctos_cinereus ENSPCIG00000020162
sarcophilus_harrisii ENSSHAG00000009236
monodelphis_domestica ENSMODG00000027463
castor_canadensis ENSCCNG00000012620
dipodomys_ordii ENSDORG00000015385
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027571
rattus_norvegicus ENSRNOG00000015992
microtus_ochrogaster ENSMOCG00000015799
octodon_degus ENSODEG00000005323
equus_asinus_asinus ENSEASG00005008297
sorex_araneus ENSSARG00000007941
pongo_abelii ENSPPYG00000029620
ornithorhynchus_anatinus ENSOANG00000002833
chrysemys_picta_bellii ENSCPBG00000019594
chelonoidis_abingdonii ENSCABG00000016234
meleagris_gallopavo ENSMGAG00000005920
coturnix_japonica ENSCJPG00005008108
anas_platyrhynchos_platyrhynchos ENSAPLG00000029592
lepidothrix_coronata ENSLCOG00000003383
manacus_vitellinus ENSMVIG00005009097
zonotrichia_albicollis ENSZALG00000012314
junco_hyemalis ENSJHYG00000015233
serinus_canaria ENSSCAG00000001440
cyanistes_caeruleus ENSCCEG00000018392
parus_major ENSPMJG00000017224
lonchura_striata_domestica ENSLSDG00000005003
calidris_pygmaea ENSCPGG00000011848
melopsittacus_undulatus ENSMUNG00000012964
dromaius_novaehollandiae ENSDNVG00000002389
apteryx_haastii ENSAHAG00000008306
salvator_merianae ENSSMRG00000008987
chelonoidis_abingdonii ENSCABG00000016233
gopherus_agassizii ENSGAGG00000011591
chrysemys_picta_bellii ENSCPBG00000019597
sphenodon_punctatus ENSSPUG00000003314
