oryctolagus_cuniculus ENSOCUG00000024345
carlito_syrichta ENSTSYG00000000585
erinaceus_europaeus ENSEEUG00000015317
dasypus_novemcinctus ENSDNOG00000038307
ursus_americanus ENSUAMG00000002519
ursus_maritimus ENSUMAG00000004048
ailuropoda_melanoleuca ENSAMEG00000019048
neovison_vison ENSNVIG00000020855
mustela_putorius_furo ENSMPUG00000019271
panthera_pardus ENSPPRG00000021367
panthera_tigris_altaica ENSPTIG00000003769
felis_catus ENSFCAG00000022777
equus_asinus_asinus ENSEASG00005002540
prolemur_simus ENSPSMG00000008634
otolemur_garnettii ENSOGAG00000017105
pan_troglodytes ENSPTRG00000013316
pan_paniscus ENSPPAG00000036986
homo_sapiens ENSG00000132671
pongo_abelii ENSPPYG00000010761
nomascus_leucogenys ENSNLEG00000018627
theropithecus_gelada ENSTGEG00000019770
papio_anubis ENSPANG00000004090
cercocebus_atys ENSCATG00000019242
macaca_fascicularis ENSMFAG00000017458
macaca_mulatta ENSMMUG00000016815
macaca_nemestrina ENSMNEG00000038323
chlorocebus_sabaeus ENSCSAG00000018676
piliocolobus_tephrosceles ENSPTEG00000003661
saimiri_boliviensis_boliviensis ENSSBOG00000013012
cebus_capucinus_imitator ENSCCAG00000019059
callithrix_jacchus ENSCJAG00000022308
aotus_nancymaae ENSANAG00000031033
dipodomys_ordii ENSDORG00000010486
castor_canadensis ENSCCNG00000025072
urocitellus_parryii ENSUPAG00010009751
ictidomys_tridecemlineatus ENSSTOG00000021697
spermophilus_dauricus ENSSDAG00000016514
marmota_marmota_marmota ENSMMMG00000004385
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025323
mus_spicilegus ENSMSIG00000002973
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037014
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024405
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025848
rattus_norvegicus ENSRNOG00000004641
meriones_unguiculatus ENSMUGG00000002237
peromyscus_maniculatus_bairdii ENSPEMG00000013404
microtus_ochrogaster ENSMOCG00000004743
cricetulus_griseus_crigri-picr ENSCGRG00015005579
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010896
cricetulus_griseus_crigri_1.0 ENSCGRG00000009186
mesocricetus_auratus ENSMAUG00000008430
nannospalax_galili ENSNGAG00000012473
jaculus_jaculus ENSJJAG00000023336
loxodonta_africana ENSLAFG00000032254
notamacropus_eugenii ENSMEUG00000012594
phascolarctos_cinereus ENSPCIG00000015498
sarcophilus_harrisii ENSSHAG00000012685
anser_brachyrhynchus ENSABRG00000011516
anas_platyrhynchos_platyrhynchos ENSAPLG00000019606
meleagris_gallopavo ENSMGAG00000003182
gallus_gallus ENSGALG00000008362
coturnix_japonica ENSCJPG00005015795
numida_meleagris ENSNMEG00000012106
manacus_vitellinus ENSMVIG00005012264
lepidothrix_coronata ENSLCOG00000008991
parus_major ENSPMJG00000013747
serinus_canaria ENSSCAG00000014767
lonchura_striata_domestica ENSLSDG00000013204
junco_hyemalis ENSJHYG00000008701
ficedula_albicollis ENSFALG00000011656
calidris_pugnax ENSCPUG00000005044
calidris_pygmaea ENSCPGG00000014219
melopsittacus_undulatus ENSMUNG00000008065
