bos_mutus ENSBMUG00000009194
bos_taurus ENSBTAG00000011057
bison_bison_bison ENSBBBG00000014460
capra_hircus ENSCHIG00000007482
ovis_aries ENSOARG00000010073
sus_scrofa ENSSSCG00000001517
equus_asinus_asinus ENSEASG00005020902
equus_caballus ENSECAG00000004978
ursus_maritimus ENSUMAG00000012167
ursus_americanus ENSUAMG00000000617
ailuropoda_melanoleuca ENSAMEG00000001355
mustela_putorius_furo ENSMPUG00000002458
neovison_vison ENSNVIG00000012687
canis_lupus_familiaris ENSCAFG00000031818
canis_lupus_dingo ENSCAFG00020003809
panthera_tigris_altaica ENSPTIG00000004464
panthera_pardus ENSPPRG00000012361
felis_catus ENSFCAG00000022517
tursiops_truncatus ENSTTRG00000006935
myotis_lucifugus ENSMLUG00000000948
ochotona_princeps ENSOPRG00000004295
procavia_capensis ENSPCAG00000012998
cricetulus_griseus_crigri-picr ENSCGRG00015028575
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015484
cricetulus_griseus_crigri_1.0 ENSCGRG00000004691
mesocricetus_auratus ENSMAUG00000020283
microtus_ochrogaster ENSMOCG00000002798
mus_spicilegus ENSMSIG00000004764
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000048731
rattus_norvegicus ENSRNOG00000000486
meriones_unguiculatus ENSMUGG00000018574
nannospalax_galili ENSNGAG00000000329
jaculus_jaculus ENSJJAG00000020274
castor_canadensis ENSCCNG00000026144
urocitellus_parryii ENSUPAG00010013955
ictidomys_tridecemlineatus ENSSTOG00000023969
marmota_marmota_marmota ENSMMMG00000024274
otolemur_garnettii ENSOGAG00000015578
otolemur_garnettii ENSOGAG00000028060
tupaia_belangeri ENSTBEG00000011113
pteropus_vampyrus ENSPVAG00000011872
echinops_telfairi ENSETEG00000020322
phascolarctos_cinereus ENSPCIG00000014453
notamacropus_eugenii ENSMEUG00000007578
monodelphis_domestica ENSMODG00000014083
sarcophilus_harrisii ENSSHAG00000005349
