colobus_angolensis_palliatus ENSCANG00000038019
piliocolobus_tephrosceles ENSPTEG00000029596
rhinopithecus_roxellana ENSRROG00000028681
macaca_mulatta ENSMMUG00000040674
macaca_fascicularis ENSMFAG00000024958
macaca_nemestrina ENSMNEG00000006444
theropithecus_gelada ENSTGEG00000024686
mandrillus_leucophaeus ENSMLEG00000010756
papio_anubis ENSPANG00000031245
cercocebus_atys ENSCATG00000004327
pan_troglodytes ENSPTRG00000048214
pan_paniscus ENSPPAG00000038441
gorilla_gorilla ENSGGOG00000039593
neovison_vison ENSNVIG00000003023
