neovison_vison ENSNVIG00000013108
ailuropoda_melanoleuca ENSAMEG00000000654
canis_lupus_familiaris ENSCAFG00000009355
panthera_pardus ENSPPRG00000010618
panthera_tigris_altaica ENSPTIG00000011773
felis_catus ENSFCAG00000041581
bos_taurus ENSBTAG00000027562
bos_mutus ENSBMUG00000013987
bison_bison_bison ENSBBBG00000001443
ovis_aries ENSOARG00000002657
prolemur_simus ENSPSMG00000011844
propithecus_coquereli ENSPCOG00000010411
microcebus_murinus ENSMICG00000042017
otolemur_garnettii ENSOGAG00000034239
dipodomys_ordii ENSDORG00000024564
castor_canadensis ENSCCNG00000007752
urocitellus_parryii ENSUPAG00010008915
spermophilus_dauricus ENSSDAG00000001185
ictidomys_tridecemlineatus ENSSTOG00000027622
marmota_marmota_marmota ENSMMMG00000012302
cricetulus_griseus_crigri-picr ENSCGRG00015012983
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017596
cricetulus_griseus_crigri_1.0 ENSCGRG00000006516
mesocricetus_auratus ENSMAUG00000006630
peromyscus_maniculatus_bairdii ENSPEMG00000018435
meriones_unguiculatus ENSMUGG00000019284
mus_spicilegus ENSMSIG00000018641
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024888
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000044916
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023978
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025415
rattus_norvegicus ENSRNOG00000006884
microtus_ochrogaster ENSMOCG00000012907
nannospalax_galili ENSNGAG00000016997
jaculus_jaculus ENSJJAG00000020049
pan_paniscus ENSPPAG00000027942
pan_troglodytes ENSPTRG00000050232
homo_sapiens ENSG00000234776
gorilla_gorilla ENSGGOG00000027882
nomascus_leucogenys ENSNLEG00000032767
papio_anubis ENSPANG00000011142
mandrillus_leucophaeus ENSMLEG00000030295
theropithecus_gelada ENSTGEG00000000516
macaca_fascicularis ENSMFAG00000031146
macaca_nemestrina ENSMNEG00000035102
chlorocebus_sabaeus ENSCSAG00000005627
rhinopithecus_roxellana ENSRROG00000033078
rhinopithecus_bieti ENSRBIG00000026731
piliocolobus_tephrosceles ENSPTEG00000030305
colobus_angolensis_palliatus ENSCANG00000043515
saimiri_boliviensis_boliviensis ENSSBOG00000032977
callithrix_jacchus ENSCJAG00000011591
cebus_capucinus_imitator ENSCCAG00000021208
aotus_nancymaae ENSANAG00000023251
carlito_syrichta ENSTSYG00000027069
oryctolagus_cuniculus ENSOCUG00000025684
loxodonta_africana ENSLAFG00000031789
dasypus_novemcinctus ENSDNOG00000034541
cavia_aperea ENSCAPG00000014887
cavia_porcellus ENSCPOG00000032012
octodon_degus ENSODEG00000016189
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015681
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018292
fukomys_damarensis ENSFDAG00000004305
myotis_lucifugus ENSMLUG00000027006
sarcophilus_harrisii ENSSHAG00000013912
monodelphis_domestica ENSMODG00000019882
